strike,call_gex,put_gex,net_gex
28.8,12557.375999999998,29471.598,-16914.222
29.0,4527.9,6087.510000000001,-1559.6100000000015
29.8,8210.591999999999,31702.008,-23491.416000000005
30.0,61512.360000000015,29246.880000000005,32265.48000000001
30.8,21801.0,55220.255999999994,-33419.255999999994
31.0,8764.002,10565.100000000002,-1801.0980000000018
31.8,33271.68,108763.51200000002,-75491.83200000002
32.0,16152.863999999998,37376.976,-21224.112000000005
32.8,84802.53600000001,142477.91999999998,-57675.38399999998
33.0,25436.736,28777.32,-3340.583999999999
33.8,354571.4639999999,388581.0239999999,-34009.56
34.0,42307.35599999999,56347.2,-14039.844000000005
34.8,147317.742,89870.43,57447.312000000005
35.0,232157.172,362969.88000000006,-130812.70800000007
35.8,189326.592,144268.95599999998,45057.63600000003
36.0,79338.87,32057.532,47281.337999999996
36.8,447182.112,58728.53999999999,388453.57200000004
37.0,50383.788,86291.712,-35907.924
37.8,121267.22399999999,41509.104,79758.12
38.0,63860.159999999996,11752.416,52107.744
