strike,call_gex,put_gex,call_dex,put_dex,net_gex
30.0,8145.540000000001,45200.78500000001,172187.665,-312531.142,-37055.24500000001
31.0,7738.263,29894.828,142860.24000000002,-223424.50400000002,-22156.565000000002
32.0,2993.66,87867.40200000002,47063.12000000001,-682018.4060000001,-84873.74200000001
33.0,8302.185,84240.20000000001,116230.59000000001,-710298.05,-75938.01500000001
34.0,8166.426000000001,55243.47,103323.042,-501995.01,-47077.044
35.0,20050.56,37427.71200000001,223062.48,-363360.704,-17377.152000000006
36.0,28143.885000000006,19215.120000000003,279141.39,-205761.91,8928.765000000003
37.0,58164.029,12489.828000000001,519915.1980000001,-150420.97200000004,45674.201
38.0,41103.648,10470.848000000002,335679.7920000001,-135007.10400000002,30632.8
39.0,50596.33500000001,8928.765000000001,400273.228,-127978.96500000001,41667.57000000001
40.0,120999.56000000001,6279.723999999999,835996.9600000001,-98192.048,114719.83600000001
