strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
32.0,4570.92825,118452.34065000001,100038.0297,-785169.80088,-0.19491932059447983,-113881.41240000002
33.0,8223.93948,110015.71307999997,157120.52795999995,-756005.4129599999,-0.19717444717444718,-101791.77359999997
34.0,10186.640099999999,77817.72134999998,166139.24925000002,-561011.4795,-0.1924090909090909,-67631.08124999997
35.0,97202.18849999999,49089.903719999995,1255852.27542,-402760.34643,0.2788134146341464,48112.284779999994
36.0,31239.02964,30164.39508,402032.72927999997,-261852.62112,0.10612429378531073,1074.6345600000022
37.0,57843.69773999999,14365.7745,686579.54274,-131590.49441999997,0.3592657004830918,43477.92323999999
38.0,72037.82922,10343.357639999998,727729.0911,-116362.77345,0.3585229759299781,61694.47158
39.0,97892.49195,9820.965839999999,805304.2734,-114090.36911999999,0.33619600725952814,88071.52610999999
40.0,190982.71070999998,7723.935899999999,1649765.5435799998,-99403.69679999998,0.36639682539682544,183258.77480999997
41.0,63444.48410999999,18765.059729999997,445406.17415999994,-258718.27031999995,0.11020264317180616,44679.42438
42.0,204941.76587999996,26171.829179999997,1363308.2686799997,-413764.15656000003,0.1869772226304188,178769.93669999996
