strike,gamma,oi,underlying,GEX
0.5,0.0,510,6.2144,0.0
0.5,0.0,2225,6.2144,0.0
1.0,0.0,33,6.2144,0.0
1.0,0.0,326,6.2144,0.0
1.5,0.0,557,6.2144,0.0
1.5,0.0,135,6.2144,0.0
2.0,0.0,512,6.2144,0.0
2.0,0.0,204,6.2144,0.0
2.5,0.002,6180,6.2144,7680.9984
2.5,0.0,461,6.2144,0.0
3.0,0.011,765,6.2144,5229.4176
3.0,0.011,3760,6.2144,25702.758400000002
3.5,0.033,2290,6.2144,46962.22080000001
3.5,0.0,1367,6.2144,0.0
4.0,0.0,1782,6.2144,0.0
4.0,0.083,8910,6.2144,459573.5232000001
4.5,0.105,6612,6.2144,431440.9344
4.5,0.0,2010,6.2144,0.0
5.0,0.0,3945,6.2144,0.0
5.0,0.257,11580,6.2144,1849442.7264
5.5,1.186,12936,6.2144,9534192.13824
5.5,1.148,9547,6.2144,6810955.056639999
6.0,0.694,14758,6.2144,6364820.79488
6.0,0.696,14855,6.2144,6425117.875200001
6.5,0.222,4326,6.2144,596813.57568
6.5,0.218,9100,6.2144,1232812.672
7.0,0.125,28692,6.2144,2228794.56
7.0,0.149,8006,6.2144,741312.04736
7.5,0.0,224,6.2144,0.0
7.5,0.086,10020,6.2144,535507.2768
8.0,0.065,23668,6.2144,956035.7248000001
8.0,0.0,7954,6.2144,0.0
8.5,0.052,2006,6.2144,64823.64928
8.5,0.096,22,6.2144,1312.4812800000002
9.0,0.033,388,6.2144,7956.917760000001
9.0,0.044,14721,6.2144,402521.60255999997
9.5,0.037,249,6.2144,5725.32672
9.5,0.047,32,6.2144,934.6457600000001
10.0,0.025,1153,6.2144,17913.008000000005
10.0,0.032,19331,6.2144,384417.81248
10.5,0.022,2,6.2144,27.343359999999997
10.5,0.022,3,6.2144,41.015040000000006
11.0,0.014,57,6.2144,495.9091200000001
11.0,0.014,8282,6.2144,72054.72512000002
11.5,0.009,0,6.2144,0.0
11.5,0.009,0,6.2144,0.0
12.0,0.006,16,6.2144,59.65824
12.0,0.006,4206,6.2144,15682.65984
12.5,0.004,9,6.2144,22.371840000000006
12.5,0.004,0,6.2144,0.0
13.0,0.002,3,6.2144,3.72864
13.0,0.002,3718,6.2144,4621.027840000001
14.0,0.001,1588,6.2144,986.8467200000001
14.0,0.001,0,6.2144,0.0
15.0,0.0,0,6.2144,0.0
15.0,0.0,5296,6.2144,0.0
16.0,0.0,6177,6.2144,0.0
16.0,0.0,0,6.2144,0.0
