strike,gamma,vanna,charm,oi,underlying,GEX,VannaExp,CharmExp,cum_gex
0.5,0.0,0,0,412,6.3246,0.0,0.0,0.0,0.0
0.5,0.001,0,0,869,6.3246,549.60774,0.0,0.0,549.60774
1.0,0.004,0,0,4081,6.3246,10324.27704,0.0,0.0,10873.88478
1.0,0.0,0,0,762,6.3246,0.0,0.0,0.0,10873.88478
1.5,0.0,0,0,1318,6.3246,0.0,0.0,0.0,10873.88478
1.5,0.007,0,0,7292,6.3246,32283.288240000005,0.0,0.0,43157.17302
2.0,0.011,0,0,1943,6.3246,13517.567579999999,0.0,0.0,56674.740600000005
2.0,0.0,0,0,2516,6.3246,0.0,0.0,0.0,56674.740600000005
2.5,0.0,0,0,2209,6.3246,0.0,0.0,0.0,56674.740600000005
2.5,0.009,0,0,1716,6.3246,9767.712239999999,0.0,0.0,66442.45284
3.0,0.027,0,0,3377,6.3246,57667.07034,0.0,0.0,124109.52317999999
3.0,0.0,0,0,5180,6.3246,0.0,0.0,0.0,124109.52317999999
3.5,0.024,0,0,9934,6.3246,150788.58336,0.0,0.0,274898.10653999995
3.5,0.034,0,0,3594,6.3246,77284.08216,0.0,0.0,352182.18869999994
4.0,0.055,0,0,5851,6.3246,203528.7903,0.0,0.0,555710.9789999999
4.0,0.019,0,0,17209,6.3246,206796.07866,0.0,0.0,762507.0576599999
4.5,0.095,0,0,3821,6.3246,229579.8177,0.0,0.0,992086.87536
4.5,0.091,0,0,5051,6.3246,290704.54686,0.0,0.0,1282791.42222
5.0,0.146,0,0,15823,6.3246,1461082.52868,0.0,0.0,2743873.9509
5.0,0.143,0,0,8590,6.3246,776894.8901999999,0.0,0.0,3520768.8411
5.5,0.205,0,0,6830,6.3246,885538.8690000001,0.0,0.0,4406307.7101
5.5,0.209,0,0,8589,6.3246,1135329.57846,0.0,0.0,5541637.288559999
6.0,0.256,0,0,18778,6.3246,3040341.47328,0.0,0.0,8581978.761839999
6.0,0.24,0,0,13262,6.3246,2013044.2848,0.0,0.0,10595023.04664
7.0,0.232,0,0,7229,6.3246,1060716.3748800003,0.0,0.0,11655739.42152
7.0,0.245,0,0,39302,6.3246,6089951.0154,0.0,0.0,17745690.436920002
8.0,0.178,0,0,35591,6.3246,4006759.3270799997,0.0,0.0,21752449.764000002
8.0,0.173,0,0,13140,6.3246,1437720.7211999998,0.0,0.0,23190170.485200003
9.0,0.127,0,0,891,6.3246,71567.27622,0.0,0.0,23261737.761420004
9.0,0.123,0,0,11605,6.3246,902782.8909,0.0,0.0,24164520.652320005
10.0,0.088,0,0,48526,6.3246,2700786.3484799997,0.0,0.0,26865307.000800006
10.0,0.099,0,0,3568,6.3246,223405.11072000003,0.0,0.0,27088712.111520007
11.0,0.064,0,0,8747,6.3246,354056.16768,0.0,0.0,27442768.279200006
11.0,0.058,0,0,193,6.3246,7079.757240000001,0.0,0.0,27449848.036440007
12.0,0.078,0,0,203,6.3246,10014.37164,0.0,0.0,27459862.408080008
12.0,0.044,0,0,18571,6.3246,516798.24504,0.0,0.0,27976660.653120007
13.0,0.045,0,0,3466,6.3246,98644.7862,0.0,0.0,28075305.43932001
13.0,0.071,0,0,143,6.3246,6421.3663799999995,0.0,0.0,28081726.805700008
14.0,0.059,0,0,204,6.3246,7612.28856,0.0,0.0,28089339.094260007
14.0,0.044,0,0,1726,6.3246,48031.54224,0.0,0.0,28137370.63650001
15.0,0.023,0,0,20744,6.3246,301754.25552,0.0,0.0,28439124.89202001
15.0,0.05,0,0,77,6.3246,2434.971,0.0,0.0,28441559.86302001
16.0,0.055,0,0,1,6.3246,34.7853,0.0,0.0,28441594.64832001
16.0,0.032,0,0,4869,6.3246,98542.32768,0.0,0.0,28540136.97600001
17.0,0.016,0,0,22465,6.3246,227331.4224,0.0,0.0,28767468.398400012
17.0,0.052,0,0,3,6.3246,98.66376,0.0,0.0,28767567.06216001
