strike,call_gex,put_gex,net_gex,abs_net_gex,GSI
0.5,503.0520000000001,530.5245000000001,-27.472500000000025,27.472500000000025,0.4867099822799764
1.0,2791.206,7474.351500000001,-4683.1455000000005,4683.1455000000005,0.271900089206066
1.5,8851.029,31158.0885,-22307.059500000003,22307.059500000003,0.22122529945830474
2.0,21307.060500000003,13048.216499999999,8258.844000000005,8258.844000000005,0.6201976045776025
2.5,32351.616000000005,10433.445000000002,21918.171000000002,21918.171000000002,0.7561428041437174
3.0,110619.54750000003,48820.46400000001,61799.08350000002,61799.08350000002,0.6938004234903108
3.5,291047.32800000004,63647.67750000001,227399.65050000002,227399.65050000002,0.8205566007046581
4.0,712504.7820000001,178754.40000000002,533750.3820000001,533750.3820000001,0.7994361195821038
4.5,305555.25,250324.53600000005,55230.71399999995,55230.71399999995,0.5496786494049631
5.0,1394284.3199999998,910273.2045,484011.11549999984,484011.11549999984,0.6050117235856396
5.5,991392.1710000001,1059155.229,-67763.05799999996,67763.05799999996,0.48347683696558297
6.0,2777860.4700000007,2643941.1900000004,133919.28000000026,133919.28000000026,0.5123500718394041
6.5,24571.404000000006,12499.987500000003,12071.416500000003,12071.416500000003,0.6628131021194604
7.0,5995422.576000001,1337046.2820000001,4658376.294000002,4658376.294000002,0.8176540115078387
7.5,0.0,561.6600000000001,-561.6600000000001,561.6600000000001,0.0
8.0,3863885.0249999994,0.0,3863885.0249999994,3863885.0249999994,1.0
8.5,27063.465,0.0,27063.465,27063.465,1.0
9.0,893652.3420000002,0.0,893652.3420000002,893652.3420000002,1.0
9.5,2131.866,0.0,2131.866,2131.866,1.0
10.0,2389985.4000000004,0.0,2389985.4000000004,2389985.4000000004,1.0
10.5,42.73500000000001,0.0,42.73500000000001,42.73500000000001,1.0
11.0,294158.436,0.0,294158.436,294158.436,1.0
12.0,487779.12149999995,0.0,487779.12149999995,487779.12149999995,1.0
13.0,78178.7985,0.0,78178.7985,78178.7985,1.0
14.0,50984.07600000001,0.0,50984.07600000001,50984.07600000001,1.0
15.0,291080.29500000004,517.0935000000001,290563.2015,290563.2015,0.9982266867935272
16.0,62423.01450000001,20.757000000000005,62402.257500000014,62402.257500000014,0.9996675889443994
17.0,260675.5635,23.8095,260651.754,260651.754,0.9999086706664231
