strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
1.0,0.0,0.0,5148.0,0.0,1.0,0.0
1.5,221.36399999999998,46.903999999999996,144930.5,-81.224,0.8090511182108625,174.45999999999998
2.0,837.98,195.624,105162.772,-163.02,0.7554156378600824,642.356
2.5,203.632,406.692,24316.864,-947.804,0.5836428571428572,-203.06
3.0,3207.2039999999997,3112.2519999999995,109523.70000000001,-3457.1679999999997,0.5025230352303522,94.95200000000023
3.5,1105.676,746.4599999999999,27559.532,-533.676,0.5558588235294118,359.216
4.0,10242.803999999998,72240.73999999999,274417.572,-64363.72800000001,0.18958544140423333,-61997.935999999994
4.5,49822.916000000005,124782.94399999999,533213.252,-82859.92,0.3009675076452599,-74960.02799999999
5.0,348246.184,2721189.9,1186108.9239999999,-1736723.5599999998,-0.046440225781551527,-2372943.716
5.5,3014607.0239999997,4639276.927999999,5662362.992000001,-2961627.2399999998,0.15218585012087027,-1624669.9039999996
6.0,6096112.88,5735619.604,5589684.672,-7242164.072000001,-0.06437197798524925,360493.2759999996
6.5,3773498.8719999995,492769.42,2155510.5,-1297757.032,0.06711883448214125,3280729.4519999996
7.0,3550352.5199999996,334634.30000000005,2667305.212,-1203355.2959999999,0.08123898552564754,3215718.2199999997
7.5,800828.6,30143.256,495293.65599999996,-147622.90399999998,0.05719006398193451,770685.3439999999
8.0,2149073.212,27501.188,1801307.508,-241121.452,0.0914258228866394,2121572.0239999997
8.5,84907.108,996.424,84106.87999999999,-10520.224,0.07376605504587155,83910.684
9.0,214661.30399999997,46.331999999999994,153096.372,-24558.82,0.04018526466380544,214614.97199999998
9.5,34842.808,31.459999999999997,33440.263999999996,-550.264,0.07196495619524405,34811.348
10.0,80192.112,49.763999999999996,71763.12,-2656.368,0.05102027027027027,80142.348
10.5,7639.0599999999995,94.952,20479.316000000003,-7608.744,0.13804294478527607,7544.107999999999
11.0,9871.004,0.0,20403.811999999998,-7436.0,0.08427881040892193,9871.004
11.5,0.0,0.0,0.0,0.0,0.0,0.0
12.0,3413.6959999999995,0.0,4308.304,0.0,0.06383050847457628,3413.6959999999995
12.5,22.308,0.0,24.595999999999997,0.0,0.043,22.308
