strike,gamma,oi,underlying,GEX
3,0.005,0,12.95,0.0
3,0.002,21405,12.95,55438.95
4,0.004,88,12.95,455.8399999999999
4,0.008,1,12.95,10.36
5,0.011,5,12.95,71.22499999999998
5,0.008,6197,12.95,64200.92
6,0.012,119,12.95,1849.2599999999998
6,0.016,3,12.95,62.16
7,0.024,0,12.95,0.0
7,0.014,371,12.95,6726.23
8,0.021,159,12.95,4324.005
8,0.028,0,12.95,0.0
9,0.05,124,12.95,8029.0
9,0.048,373,12.95,23185.68
10,0.08,6921,12.95,717015.6000000001
10,0.08,152,12.95,15747.199999999999
11,0.105,90,12.95,12237.749999999998
11,0.145,713,12.95,133883.57499999998
12,0.179,3800,12.95,880859.0
12,0.225,2408,12.95,701631.0
13,0.265,3521,12.95,1208319.175
13,0.168,2803,12.95,609820.68
14,0.114,2707,12.95,399634.41000000003
14,0.144,7468,12.95,1392632.6399999997
15,0.075,6468,12.95,628204.5
15,0.1,5161,12.95,668349.5
16,0.078,2448,12.95,247272.47999999995
16,0.044,6781,12.95,386381.37999999995
17,0.03,5972,12.95,232012.19999999998
17,0.065,1765,12.95,148568.875
18,0.058,1631,12.95,122504.40999999999
18,0.021,22756,12.95,618849.42
19,0.048,1863,12.95,115804.08000000002
19,0.02,5225,12.95,135327.5
20,0.015,27328,12.95,530846.3999999999
20,0.045,5864,12.95,341724.6
21,0.023,1368,12.95,40745.87999999999
21,0.017,4594,12.95,101136.91
22,0.013,8136,12.95,136969.55999999997
22,0.036,1059,12.95,49370.579999999994
23,0.031,1353,12.95,54316.185
23,0.018,4914,12.95,114545.34
24,0.012,5320,12.95,82672.79999999999
24,0.029,610,12.95,22908.550000000003
25,0.034,3349,12.95,147456.47000000003
25,0.007,21748,12.95,197145.61999999997
26,0.013,1663,12.95,27996.605
26,0.026,373,12.95,12558.91
27,0.028,579,12.95,20994.54
27,0.006,4154,12.95,32276.579999999998
28,0.01,3213,12.95,41608.350000000006
28,0.026,282,12.95,9494.939999999999
29,0.025,8,12.95,259.0
29,0.008,938,12.95,9717.68
30,0.005,19648,12.95,127220.79999999999
30,0.024,1604,12.95,49852.32
31,0.005,1915,12.95,12399.625
32,0.023,73,12.95,2174.305
32,0.01,658,12.95,8521.1
33,0.022,372,12.95,10598.279999999999
33,0.005,803,12.95,5199.424999999999
34,0.012,518,12.95,8049.72
35,0.025,3458,12.95,111952.75
35,0.004,19257,12.95,99751.26
36,0.021,289,12.95,7859.355
36,0.008,1115,12.95,11551.4
37,0.007,299,12.95,2710.435
37,0.02,431,12.95,11162.900000000001
38,0.018,1672,12.95,38974.31999999999
40,0.015,18,12.95,349.65
40,0.003,5305,12.95,20609.925
41,0.007,172,12.95,1559.1799999999998
42,0.006,1022,12.95,7940.9400000000005
43,0.01,3,12.95,38.849999999999994
43,0.005,784,12.95,5076.4
44,0.018,106,12.95,2470.8599999999997
45,0.01,17,12.95,220.14999999999998
45,0.003,3642,12.95,14149.169999999998
46,0.018,128,12.95,2983.6799999999994
46,0.017,82,12.95,1805.23
47,0.016,78,12.95,1616.1599999999999
47,0.017,167,12.95,3676.505
48,0.006,179,12.95,1390.83
48,0.01,70,12.95,906.5
49,0.016,770,12.95,15954.4
49,0.004,266,12.95,1377.88
50,0.002,11234,12.95,29096.06
50,0.019,9978,12.95,245508.69
