strike,gamma,vanna,charm,oi,underlying,GEX,VannaExp,CharmExp,cum_gex
3,0.005,0,0,0,12.9944,0.0,0.0,0.0,0.0
3,0.002,0,0,21405,12.9944,55629.0264,0.0,0.0,55629.0264
4,0.008,0,0,88,12.9944,914.80576,0.0,0.0,56543.832160000005
4,0.008,0,0,1,12.9944,10.395520000000001,0.0,0.0,56554.22768
5,0.012,0,0,5,12.9944,77.96640000000001,0.0,0.0,56632.19408
5,0.008,0,0,6197,12.9944,64421.03744000001,0.0,0.0,121053.23152
6,0.011,0,0,119,12.9944,1700.9669600000002,0.0,0.0,122754.19848
6,0.017,0,0,3,12.9944,66.27144000000001,0.0,0.0,122820.46992
7,0.023,0,0,0,12.9944,0.0,0.0,0.0,122820.46992
7,0.015,0,0,371,12.9944,7231.3836,0.0,0.0,130051.85352
8,0.021,0,0,159,12.9944,4338.83016,0.0,0.0,134390.68368000002
8,0.034,0,0,0,12.9944,0.0,0.0,0.0,134390.68368000002
9,0.046,0,0,124,12.9944,7412.00576,0.0,0.0,141802.68944000002
9,0.047,0,0,373,12.9944,22780.48264,0.0,0.0,164583.17208000002
10,0.08,0,0,6921,12.9944,719473.9392000001,0.0,0.0,884057.1112800002
10,0.067,0,0,152,12.9944,13233.496960000002,0.0,0.0,897290.6082400002
11,0.098,0,0,90,12.9944,11461.060800000001,0.0,0.0,908751.6690400002
11,0.156,0,0,713,12.9944,144534.11232,0.0,0.0,1053285.7813600001
12,0.251,0,0,3800,12.9944,1239405.872,0.0,0.0,2292691.65336
12,0.238,0,0,2408,12.9944,744714.2617599999,0.0,0.0,3037405.91512
13,0.216,0,0,3521,12.9944,988270.89984,0.0,0.0,4025676.81496
13,0.25,0,0,2803,12.9944,910582.5800000001,0.0,0.0,4936259.39496
14,0.098,0,0,2707,12.9944,344723.23984,0.0,0.0,5280982.6348
14,0.148,0,0,7468,12.9944,1436224.25216,0.0,0.0,6717206.88696
15,0.078,0,0,6468,12.9944,655572.6777600001,0.0,0.0,7372779.56472
15,0.09,0,0,5161,12.9944,603576.8856,0.0,0.0,7976356.45032
16,0.066,0,0,2448,12.9944,209947.92192000002,0.0,0.0,8186304.3722399995
16,0.052,0,0,6781,12.9944,458198.13727999997,0.0,0.0,8644502.50952
17,0.04,0,0,5972,12.9944,310410.2272,0.0,0.0,8954912.73672
17,0.053,0,0,1765,12.9944,121556.11480000001,0.0,0.0,9076468.85152
18,0.044,0,0,1631,12.9944,93253.01216,0.0,0.0,9169721.86368
18,0.017,0,0,22756,12.9944,502690.96288000006,0.0,0.0,9672412.82656
19,0.02,0,0,5225,12.9944,135791.48,0.0,0.0,9808204.30656
19,0.045,0,0,1863,12.9944,108938.5524,0.0,0.0,9917142.85896
20,0.034,0,0,5864,12.9944,259077.14944000004,0.0,0.0,10176220.0084
20,0.015,0,0,27328,12.9944,532666.4447999999,0.0,0.0,10708886.453200001
21,0.01,0,0,4594,12.9944,59696.2736,0.0,0.0,10768582.726800002
21,0.0,0,0,1368,12.9944,0.0,0.0,0.0,10768582.726800002
22,0.04,0,0,1059,12.9944,55044.2784,0.0,0.0,10823627.005200002
22,0.009,0,0,8136,12.9944,95150.19455999999,0.0,0.0,10918777.199760003
23,0.018,0,0,4914,12.9944,114938.06688000001,0.0,0.0,11033715.266640004
23,0.0,0,0,1353,12.9944,0.0,0.0,0.0,11033715.266640004
24,0.036,0,0,610,12.9944,28535.702399999995,0.0,0.0,11062250.969040005
24,0.011,0,0,5320,12.9944,76043.2288,0.0,0.0,11138294.197840005
25,0.007,0,0,21748,12.9944,197821.54783999998,0.0,0.0,11336115.745680004
25,0.02,0,0,3349,12.9944,87036.4912,0.0,0.0,11423152.236880004
26,0.031,0,0,373,12.9944,15025.42472,0.0,0.0,11438177.661600005
26,0.008,0,0,1663,12.9944,17287.749760000002,0.0,0.0,11455465.411360005
27,0.006,0,0,4154,12.9944,32387.242560000002,0.0,0.0,11487852.653920004
27,0.03,0,0,579,12.9944,22571.272800000002,0.0,0.0,11510423.926720005
28,0.028,0,0,282,12.9944,10260.37824,0.0,0.0,11520684.304960005
28,0.01,0,0,3213,12.9944,41751.00720000001,0.0,0.0,11562435.312160006
29,0.005,0,0,938,12.9944,6094.373600000001,0.0,0.0,11568529.685760006
29,0.027,0,0,8,12.9944,280.67904000000004,0.0,0.0,11568810.364800006
30,0.026,0,0,1604,12.9944,54191.84576,0.0,0.0,11623002.210560007
30,0.005,0,0,19648,12.9944,127656.9856,0.0,0.0,11750659.196160007
31,0.005,0,0,1915,12.9944,12442.138000000003,0.0,0.0,11763101.334160008
31,0.025,0,0,255,12.9944,8283.93,0.0,0.0,11771385.264160007
32,0.024,0,0,73,12.9944,2276.61888,0.0,0.0,11773661.883040007
32,0.013,0,0,658,12.9944,11115.40976,0.0,0.0,11784777.292800007
33,0.01,0,0,803,12.9944,10434.5032,0.0,0.0,11795211.796000008
33,0.024,0,0,372,12.9944,11601.40032,0.0,0.0,11806813.196320007
34,0.02,0,0,146,12.9944,3794.3648000000003,0.0,0.0,11810607.561120007
34,0.012,0,0,518,12.9944,8077.31904,0.0,0.0,11818684.880160008
35,0.014,0,0,3458,12.9944,62908.48928,0.0,0.0,11881593.369440008
35,0.004,0,0,19257,12.9944,100093.26432,0.0,0.0,11981686.633760007
36,0.009,0,0,1115,12.9944,13039.8804,0.0,0.0,11994726.514160007
36,0.019,0,0,289,12.9944,7135.225039999999,0.0,0.0,12001861.739200007
37,0.018,0,0,431,12.9944,10081.05552,0.0,0.0,12011942.794720007
37,0.007,0,0,299,12.9944,2719.7279200000003,0.0,0.0,12014662.522640007
38,0.019,0,0,1672,12.9944,41280.60992,0.0,0.0,12055943.132560007
38,0.018,0,0,134,12.9944,3134.24928,0.0,0.0,12059077.381840007
39,0.018,0,0,0,12.9944,0.0,0.0,0.0,12059077.381840007
39,0.018,0,0,226,12.9944,5286.12192,0.0,0.0,12064363.503760008
40,0.003,0,0,5305,12.9944,20680.587600000003,0.0,0.0,12085044.091360008
40,0.017,0,0,18,12.9944,397.6286400000001,0.0,0.0,12085441.720000008
41,0.017,0,0,448,12.9944,9896.53504,0.0,0.0,12095338.255040009
41,0.007,0,0,172,12.9944,1564.52576,0.0,0.0,12096902.78080001
42,0.008,0,0,1022,12.9944,10624.221440000001,0.0,0.0,12107527.00224001
42,0.017,0,0,180,12.9944,3976.2864000000004,0.0,0.0,12111503.28864001
43,0.016,0,0,3,12.9944,62.37312,0.0,0.0,12111565.66176001
43,0.005,0,0,784,12.9944,5093.8048,0.0,0.0,12116659.46656001
44,0.018,0,0,106,12.9944,2479.3315199999997,0.0,0.0,12119138.79808001
44,0.016,0,0,2,12.9944,41.582080000000005,0.0,0.0,12119180.38016001
45,0.016,0,0,17,12.9944,353.44768000000005,0.0,0.0,12119533.82784001
45,0.003,0,0,3642,12.9944,14197.68144,0.0,0.0,12133731.50928001
46,0.018,0,0,128,12.9944,2993.90976,0.0,0.0,12136725.41904001
46,0.016,0,0,82,12.9944,1704.8652800000002,0.0,0.0,12138430.28432001
47,0.016,0,0,78,12.9944,1621.70112,0.0,0.0,12140051.98544001
47,0.018,0,0,167,12.9944,3906.1166399999997,0.0,0.0,12143958.10208001
48,0.006,0,0,179,12.9944,1395.5985600000001,0.0,0.0,12145353.70064001
48,0.015,0,0,70,12.9944,1364.412,0.0,0.0,12146718.11264001
49,0.015,0,0,770,12.9944,15008.532000000001,0.0,0.0,12161726.64464001
49,0.006,0,0,266,12.9944,2073.9062400000003,0.0,0.0,12163800.55088001
50,0.002,0,0,11234,12.9944,29195.817920000005,0.0,0.0,12192996.368800009
50,0.008,0,0,9978,12.9944,103726.49856,0.0,0.0,12296722.867360009
