strike,gamma,oi,underlying,GEX
2,0.021,1,6.4101,13.461210000000001
2,0.024,0,6.4101,0.0
3,0.055,114,6.4101,4019.1327
3,0.054,22,6.4101,761.51988
4,0.109,90,6.4101,6288.3081
4,0.102,59,6.4101,3857.5981799999995
5,0.119,400,6.4101,30512.075999999994
5,0.163,149,6.4101,15568.209870000002
6,0.138,157,6.4101,13888.122659999999
6,0.102,675,6.4101,44133.538499999995
7,0.126,1333,6.4101,107662.75757999999
7,0.13,333,6.4101,27749.3229
8,0.118,1836,6.4101,138873.53448
8,0.117,2665,6.4101,199870.12305
9,0.102,138,6.4101,9022.856759999999
9,0.11,1012,6.4101,71357.2332
10,0.09,207,6.4101,11942.0163
10,0.094,642,6.4101,38683.67148
11,0.085,9047,6.4101,492933.48495
11,0.084,91,6.4101,4899.88044
12,0.078,26,6.4101,1299.96828
12,0.076,2730,6.4101,132996.7548
13,0.069,3563,6.4101,157590.38547
13,0.072,44,6.4101,2030.7196799999997
14,0.068,36,6.4101,1569.1924800000002
14,0.068,42,6.4101,1830.72456
15,0.054,46,6.4101,1592.26884
15,0.064,8,6.4101,328.19712000000004
16,0.061,8,6.4101,312.81287999999995
16,0.062,2,6.4101,79.48524
17,0.057,16,6.4101,584.60112
17,0.058,12,6.4101,446.1429600000001
18,0.058,0,6.4101,0.0
18,0.054,4,6.4101,138.45816000000002
19,0.052,3,6.4101,99.99756
19,0.055,0,6.4101,0.0
20,0.046,0,6.4101,0.0
20,0.05,13,6.4101,416.6565
21,0.048,31,6.4101,953.82288
21,0.05,0,6.4101,0.0
22,0.047,61,6.4101,1837.77567
22,0.047,23,6.4101,692.9318099999999
23,0.046,27,6.4101,796.13442
23,0.047,0,6.4101,0.0
24,0.047,1,6.4101,30.127470000000002
24,0.045,20,6.4101,576.9089999999999
