strike,call_gex,put_gex,call_dex,put_dex,net_gex,net_dex
16.0,0.0,8.653976886338674e-36,0.0,0.0,-8.653976886338674e-36,0.0
16.5,1.1324930333327408e-27,6.794958199996445e-27,0.0,0.0,-5.6624651666637045e-27,0.0
17.0,2.60908402790487e-18,4.795496443289152e-16,0.0,0.0,-4.769405603010103e-16,0.0
17.5,5.483236261691668e-12,5.154242085990168e-10,0.0,0.0,-5.099409723373251e-10,0.0
18.0,0.000124407909796868,0.0027796281560328795,0.0,0.0,-0.0026552202462360114,0.0
18.5,5.109605558030764,12.87900579010494,0.0,0.0,-7.769400232074177,0.0
19.0,11251.648326764509,30707.954178123167,0.0,0.0,-19456.30585135866,0.0
19.5,2426055.8121039704,1215824.5121754478,0.0,0.0,1210231.2999285227,0.0
20.0,50835124.44631404,3799683.643242565,0.0,0.0,47035440.80307147,0.0
20.5,2767319.934927817,219201.72629434124,0.0,0.0,2548118.208633476,0.0
21.0,441491.56141920487,214.80787724573813,0.0,0.0,441276.7535419591,0.0
21.5,113.70923744842088,0.0,0.0,0.0,113.70923744842088,0.0
22.0,0.26810947969374005,0.00045811102895128595,0.0,0.0,0.2676513686647888,0.0
22.5,2.677494042787441e-07,1.4874966904374676e-08,0.0,0.0,2.528744373743694e-07,0.0
23.0,5.822252597605284e-11,0.0,0.0,0.0,5.822252597605284e-11,0.0
23.5,1.6460983467734625e-17,0.0,0.0,0.0,1.6460983467734625e-17,0.0
24.0,4.056971981149806e-23,0.0,0.0,0.0,4.056971981149806e-23,0.0
