strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
16.5,37277.526,448.8264,474021.882,-466.58299999999997,0.9182820512820512,36828.6996
17.0,223406.92970000004,1724934.6830000002,2001157.486,-875601.1807,0.038146459667093464,-1501527.7533000002
17.5,13344.651599999997,155228.76390000002,71237.5902,-102764.62240000001,-0.029229071803852886,-141884.11230000004
18.0,751750.5957999999,2903011.7998,5593196.0144,-1811664.9067000002,0.21141295807371424,-2151261.2040000004
18.5,763245.7275,1146042.5103000002,1041145.018,-495421.9852,0.1605865480822679,-382796.78280000016
19.0,10601212.5085,12987571.852099998,10411971.9218,-10348882.3442,0.0015318258955189547,-2386359.3435999975
19.5,2549020.0002,1471995.5051,1011072.7047,-3231422.7614,-0.20318242005185824,1077024.4951000002
20.0,26097364.8377,4802219.2002,16715899.274799999,-19198070.776300002,-0.015053597818740053,21295145.6375
20.5,1218603.7228,6819.29,747808.0639000001,-292015.9764,0.0457764181369759,1211784.4328
21.0,7252871.4144,34562.655199999994,3823148.8001,-260600.01739999998,0.033490984159681776,7218308.7592
21.5,37606.40089999999,559.8996000000001,36316.2139,-5024.9289,0.055587248322147655,37046.501299999996
