strike,gamma,oi,underlying,GEX
1,0.002,0,9.96,0.0
1,0.002,0,9.96,0.0
2,0.006,0,9.96,0.0
2,0.005,0,9.96,0.0
3,0.009,0,9.96,0.0
3,0.01,0,9.96,0.0
4,0.018,0,9.96,0.0
4,0.018,0,9.96,0.0
5,0.027,0,9.96,0.0
5,0.028,1078,9.96,30063.264000000003
6,0.04,0,9.96,0.0
6,0.035,0,9.96,0.0
7,0.067,0,9.96,0.0
7,0.062,0,9.96,0.0
8,0.083,0,9.96,0.0
8,0.097,0,9.96,0.0
9,0.13,141,9.96,18256.680000000004
9,0.111,2,9.96,221.11200000000002
10,0.107,339,9.96,36127.908
10,0.108,54,9.96,5808.672
11,0.141,1273,9.96,178775.02800000002
11,0.113,360,9.96,40517.280000000006
12,0.098,66,9.96,6442.128
12,0.114,7,9.96,794.8080000000002
13,0.0,5,9.96,0.0
13,0.088,131,9.96,11481.888
14,0.077,20,9.96,1533.8400000000001
14,0.0,2,9.96,0.0
15,0.063,0,9.96,0.0
15,0.064,934,9.96,59536.89600000001
16,0.055,9,9.96,493.02000000000004
16,0.0,1,9.96,0.0
17,0.054,0,9.96,0.0
17,0.0,0,9.96,0.0
18,0.0,0,9.96,0.0
18,0.048,0,9.96,0.0
19,0.044,112,9.96,4908.2880000000005
19,0.04,0,9.96,0.0
20,0.037,1,9.96,36.852000000000004
20,0.042,513,9.96,21459.816000000006
21,0.036,0,9.96,0.0
21,0.035,0,9.96,0.0
22,0.033,0,9.96,0.0
22,0.031,1,9.96,30.876000000000005
25,0.023,1267,9.96,29024.436
25,0.021,0,9.96,0.0
