strike,gamma,vanna,charm,oi,underlying,GEX,VannaExp,CharmExp,cum_gex
1,0.002,0,0,0,9.9,0.0,0.0,0.0,0.0
1,0.002,0,0,0,9.9,0.0,0.0,0.0,0.0
2,0.005,0,0,0,9.9,0.0,0.0,0.0,0.0
2,0.005,0,0,0,9.9,0.0,0.0,0.0,0.0
3,0.009,0,0,0,9.9,0.0,0.0,0.0,0.0
3,0.009,0,0,0,9.9,0.0,0.0,0.0,0.0
4,0.013,0,0,0,9.9,0.0,0.0,0.0,0.0
4,0.014,0,0,0,9.9,0.0,0.0,0.0,0.0
5,0.023,0,0,0,9.9,0.0,0.0,0.0,0.0
5,0.02,0,0,1078,9.9,21344.4,0.0,0.0,21344.4
6,0.03,0,0,0,9.9,0.0,0.0,0.0,21344.4
6,0.036,0,0,0,9.9,0.0,0.0,0.0,21344.4
7,0.046,0,0,6,9.9,273.24,0.0,0.0,21617.640000000003
7,0.052,0,0,5,9.9,257.40000000000003,0.0,0.0,21875.040000000005
8,0.079,0,0,30,9.9,2346.3,0.0,0.0,24221.340000000004
8,0.101,0,0,0,9.9,0.0,0.0,0.0,24221.340000000004
9,0.092,0,0,141,9.9,12842.28,0.0,0.0,37063.62
9,0.103,0,0,1743,9.9,177733.71000000002,0.0,0.0,214797.33000000002
10,0.107,0,0,383,9.9,40571.19,0.0,0.0,255368.52000000002
10,0.096,0,0,62,9.9,5892.4800000000005,0.0,0.0,261261.00000000003
11,0.095,0,0,1273,9.9,119725.65000000001,0.0,0.0,380986.65
11,0.106,0,0,395,9.9,41451.3,0.0,0.0,422437.95
12,0.1,0,0,106,9.9,10494.000000000002,0.0,0.0,432931.95
12,0.086,0,0,7,9.9,595.98,0.0,0.0,433527.93
13,0.078,0,0,5,9.9,386.1,0.0,0.0,433914.02999999997
13,0.096,0,0,145,9.9,13780.800000000001,0.0,0.0,447694.82999999996
14,0.081,0,0,21,9.9,1683.99,0.0,0.0,449378.81999999995
14,0.071,0,0,2,9.9,140.57999999999998,0.0,0.0,449519.39999999997
15,0.065,0,0,0,9.9,0.0,0.0,0.0,449519.39999999997
15,0.07,0,0,1017,9.9,70478.1,0.0,0.0,519997.5
16,0.062,0,0,9,9.9,552.4200000000001,0.0,0.0,520549.92
16,0.06,0,0,1,9.9,59.400000000000006,0.0,0.0,520609.32
17,0.053,0,0,0,9.9,0.0,0.0,0.0,520609.32
17,0.056,0,0,0,9.9,0.0,0.0,0.0,520609.32
18,0.052,0,0,0,9.9,0.0,0.0,0.0,520609.32
18,0.052,0,0,0,9.9,0.0,0.0,0.0,520609.32
19,0.044,0,0,112,9.9,4878.72,0.0,0.0,525488.04
19,0.05,0,0,0,9.9,0.0,0.0,0.0,525488.04
20,0.047,0,0,1,9.9,46.53,0.0,0.0,525534.5700000001
20,0.032,0,0,513,9.9,16251.840000000002,0.0,0.0,541786.41
21,0.037,0,0,0,9.9,0.0,0.0,0.0,541786.41
21,0.044,0,0,0,9.9,0.0,0.0,0.0,541786.41
22,0.041,0,0,0,9.9,0.0,0.0,0.0,541786.41
22,0.036,0,0,1,9.9,35.64,0.0,0.0,541822.05
25,0.023,0,0,1276,9.9,29054.519999999997,0.0,0.0,570876.5700000001
25,0.037,0,0,0,9.9,0.0,0.0,0.0,570876.5700000001
