strike,call_gex,put_gex,net_gex
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
3.0,0.0,42.35,-42.35
4.0,0.0,195.657,-195.657
5.0,105.028,33.88,71.148
6.0,0.0,999.46,-999.46
7.0,437.052,4390.848,-3953.796
8.0,16826.502,193133.787,-176307.285
8.5,72007.705,358300.481,-286292.776
9.0,42304.261999999995,194538.96,-152234.698
9.5,84450.13500000001,19269.25,65180.88500000001
10.0,104053.95000000001,11579.337,92474.61300000001
10.5,28079.744000000006,5674.900000000001,22404.844000000005
11.0,56278.06800000001,1211.2100000000003,55066.85800000001
11.5,19577.558,0.0,19577.558
12.0,19370.043,0.0,19370.043
12.5,990.9900000000001,0.0,990.9900000000001
13.0,26441.646000000004,0.0,26441.646000000004
13.5,965.5799999999999,245.63000000000005,719.9499999999998
14.0,1323.014,0.0,1323.014
14.5,1192.576,409.101,783.475
15.0,372.68,0.0,372.68
15.5,1885.422,0.0,1885.422
16.0,569.1840000000001,0.0,569.1840000000001
16.5,36.421,0.0,36.421
17.0,354.046,0.0,354.046
17.5,28.798000000000005,0.0,28.798000000000005
18.0,26.257,0.0,26.257
19.0,0.0,0.0,0.0
20.0,402.32500000000005,0.0,402.32500000000005
