strike,call_gex,put_gex,call_dex,put_dex,net_gex,net_dex
11.5,1.674462963653703e-16,1.6153642708188662e-16,0.0,0.0,5.9098692834836846e-18,0.0
12.0,3.957514975329816e-06,6.766836056435231e-07,0.0,0.0,3.2808313696862925e-06,0.0
12.5,1.3413886858948016,3.402270361559627,0.0,0.0,-2.060881675664825,0.0
13.0,64197.15823978115,44166.55490800785,0.0,0.0,20030.6033317733,0.0
13.5,10856555.177290566,3987872.3623076836,0.0,0.0,6868682.814982883,0.0
14.0,67292150.88817489,1110950.5047848967,0.0,0.0,66181200.383389995,0.0
14.5,1502418.3841865116,52923.61702665733,0.0,0.0,1449494.7671598543,0.0
15.0,15722.53190235915,468.82549804267506,0.0,0.0,15253.706404316474,0.0
15.5,1.25589060471602,0.021443652289641606,0.0,0.0,1.2344469524263786,0.0
16.0,2.3840966567452892e-05,4.28712479650251e-07,0.0,0.0,2.341225408780264e-05,0.0
