strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
14.0,12835788.838400003,9238356.775999999,153761805.94719997,-17773133.9456,0.42758649626210476,3597432.062400004
14.5,570648.9184,5243999.2704,8113255.1016,-8139662.167999999,-0.00036592525659738333,-4673350.352
15.0,33402839.4656,7270525.4688,293663917.6768,-15192553.930399999,0.60505719511885,26132313.996799998
15.5,5638205.3728,6896044.7864,33465695.295999996,-10060152.801599998,0.27602891114879524,-1257839.4135999996
16.0,30541875.082399998,5682438.9688,153922742.3008,-13637173.923999999,0.5018173177908827,24859436.113599997
16.5,13543503.6352,3883091.9247999997,36416471.1592,-10758536.3336,0.29058786949194265,9660411.7104
17.0,32594035.047199998,4770789.161599999,119109228.24239999,-14992678.201599998,0.3913514200242589,27823245.8856
17.5,9069558.1768,555833.4935999999,16966505.9696,-2141928.8087999998,0.29727992958927074,8513724.6832
18.0,21631849.782399997,277645.1304,54274558.756,-1323955.8111999999,0.3320648096885813,21354204.652
18.5,1850679.2831999997,387477.13840000005,2931272.9864,-2107949.7559999996,0.04926645322661331,1463202.1447999997
