strike,gamma,oi,underlying,GEX
0.5,0.0,6404,180.495,0.0
1.0,0.0,3540,180.495,0.0
1.5,0.0,18,180.495,0.0
2.0,0.0,637,180.495,0.0
2.5,0.0,15,180.495,0.0
3.0,0.0,31,180.495,0.0
3.5,0.0,21,180.495,0.0
4.0,0.0,21,180.495,0.0
4.5,0.0,22,180.495,0.0
5.0,0.0,292,180.495,0.0
5.5,0.0,18,180.495,0.0
6.0,0.0,29,180.495,0.0
6.5,0.0,86,180.495,0.0
7.0,0.0,13,180.495,0.0
7.5,0.0,223,180.495,0.0
8.0,0.0,46,180.495,0.0
8.5,0.0,215,180.495,0.0
9.0,0.0,31,180.495,0.0
9.5,0.0,53,180.495,0.0
10.0,0.0,113,180.495,0.0
10.5,0.0,6,180.495,0.0
11.0,0.0,5,180.495,0.0
11.5,0.0,7,180.495,0.0
12.0,0.0,31,180.495,0.0
12.5,0.0,50,180.495,0.0
13.0,0.0,2,180.495,0.0
13.5,0.0,710,180.495,0.0
14.0,0.0,253,180.495,0.0
14.5,0.0,215,180.495,0.0
15.0,0.0,836,180.495,0.0
15.5,0.0,357,180.495,0.0
16.0,0.0,1644,180.495,0.0
16.5,0.0,191,180.495,0.0
17.0,0.0,198,180.495,0.0
17.5,0.0,323,180.495,0.0
18.0,0.0,744,180.495,0.0
18.5,0.0,2488,180.495,0.0
19.0,0.0,1004,180.495,0.0
19.5,0.0,1046,180.495,0.0
20.0,0.0,4585,180.495,0.0
20.5,0.0,674,180.495,0.0
21.0,0.0,840,180.495,0.0
21.5,0.0,1575,180.495,0.0
22.0,0.0,1846,180.495,0.0
22.5,0.0,372,180.495,0.0
23.0,0.0,1462,180.495,0.0
23.5,0.0,880,180.495,0.0
24.0,0.0,2322,180.495,0.0
24.5,0.0,1197,180.495,0.0
25.0,0.0,5734,180.495,0.0
25.5,0.0,1335,180.495,0.0
26.0,0.0,1550,180.495,0.0
26.5,0.0,1547,180.495,0.0
27.0,0.0,1889,180.495,0.0
