strike,gamma,oi,underlying,GEX
0.5,0.002,1521,6.2455,1899.8811000000003
0.5,0.001,8186,6.2455,5112.5663
1.0,0.003,37,6.2455,69.32504999999999
1.0,0.006,4,6.2455,14.989199999999999
1.5,0.01,12253,6.2455,76526.1115
1.5,0.005,10481,6.2455,32729.54275
2.0,0.008,15,6.2455,74.946
2.0,0.016,45,6.2455,449.676
2.5,0.018,14540,6.2455,163457.22599999997
2.5,0.018,4626,6.2455,52005.02939999999
3.0,0.034,227,6.2455,4820.2769
3.0,0.026,574,6.2455,9320.784199999998
3.5,0.044,2560,6.2455,70349.31199999999
3.5,0.025,6241,6.2455,97445.41374999999
4.0,0.067,121,6.2455,5063.226850000001
4.0,0.053,2107,6.2455,69744.12305
4.5,0.094,9656,6.2455,566881.5512
4.5,0.031,4187,6.2455,81064.71634999999
5.0,0.133,455,6.2455,37794.64325
5.0,0.15,6610,6.2455,619241.325
5.5,0.166,2840,6.2455,294437.852
5.5,0.045,8391,6.2455,235826.95725
6.0,0.261,761,6.2455,124048.74555
6.0,0.265,5116,6.2455,846727.417
7.0,0.259,4155,6.2455,672106.35975
7.0,0.246,8762,6.2455,1346187.5465999998
8.0,0.177,9700,6.2455,1072289.895
8.0,0.179,778,6.2455,86976.0821
9.0,0.117,282,6.2455,20606.4027
9.0,0.12,21057,6.2455,1578137.9219999998
10.0,0.088,13505,6.2455,742240.2019999999
10.0,0.0,241,6.2455,0.0
11.0,0.064,8998,6.2455,359660.8576
11.0,0.036,12,6.2455,269.80559999999997
12.0,0.0,22,6.2455,0.0
12.0,0.052,1495,6.2455,48552.51699999999
13.0,0.061,199,6.2455,7581.412449999999
13.0,0.042,0,6.2455,0.0
14.0,0.0,61,6.2455,0.0
14.0,0.037,660,6.2455,15251.511
15.0,0.025,1890,6.2455,29509.9875
15.0,0.004,0,6.2455,0.0
16.0,0.039,200,6.2455,4871.49
16.0,0.021,422,6.2455,5534.7621
17.0,0.054,846,6.2455,28531.942199999998
17.0,0.0,426,6.2455,0.0
18.0,0.0,591,6.2455,0.0
18.0,0.05,4394,6.2455,137213.635
19.0,0.046,544,6.2455,15628.7392
19.0,0.0,36,6.2455,0.0
20.0,0.0,128,6.2455,0.0
20.0,0.043,13302,6.2455,357233.8563
21.0,0.041,50492,6.2455,1292925.9226
21.0,0.0,372,6.2455,0.0
