strike,gamma,vanna,charm,oi,underlying,GEX,VannaExp,CharmExp,cum_gex
1.0,0.0,0,0,5,6.4723,0.0,0.0,0.0,0.0
1.0,0.002,0,0,37,6.4723,47.895019999999995,0.0,0.0,47.895019999999995
2.0,0.007,0,0,16,6.4723,72.48976,0.0,0.0,120.38478
2.0,0.015,0,0,46,6.4723,446.58869999999996,0.0,0.0,566.97348
2.5,0.018,0,0,14540,6.4723,169393.03559999997,0.0,0.0,169960.00907999996
2.5,0.017,0,0,4626,6.4723,50899.46166,0.0,0.0,220859.47073999996
3.0,0.02,0,0,573,6.4723,7417.2558,0.0,0.0,228276.72653999997
3.0,0.022,0,0,227,6.4723,3232.26662,0.0,0.0,231508.99315999998
3.5,0.024,0,0,6241,6.4723,96944.69832,0.0,0.0,328453.69148
3.5,0.042,0,0,2560,6.4723,69590.16960000001,0.0,0.0,398043.86108
4.0,0.049,0,0,2308,6.4723,73196.53516,0.0,0.0,471240.39624000003
4.0,0.019,0,0,121,6.4723,1487.9817699999999,0.0,0.0,472728.37801000004
4.5,0.032,0,0,4187,6.4723,86718.46432,0.0,0.0,559446.84233
4.5,0.088,0,0,9656,6.4723,549969.45344,0.0,0.0,1109416.29577
5.0,0.138,0,0,6902,6.4723,616471.04148,0.0,0.0,1725887.3372499999
5.0,0.137,0,0,457,6.4723,40522.423070000004,0.0,0.0,1766409.76032
5.5,0.154,0,0,2840,6.4723,283072.51279999997,0.0,0.0,2049482.2731199998
5.5,0.046,0,0,8391,6.4723,249821.71877999997,0.0,0.0,2299303.9919
6.0,0.274,0,0,911,6.4723,161557.66922,0.0,0.0,2460861.66112
6.0,0.279,0,0,5170,6.4723,933583.9689,0.0,0.0,3394445.63002
7.0,0.276,0,0,4298,6.4723,767775.29304,0.0,0.0,4162220.92306
7.0,0.276,0,0,10167,6.4723,1816186.92516,0.0,0.0,5978407.84822
8.0,0.186,0,0,8783,6.4723,1057339.52274,0.0,0.0,7035747.37096
8.0,0.18,0,0,788,6.4723,91803.1032,0.0,0.0,7127550.47416
9.0,0.12,0,0,20922,6.4723,1624961.5272,0.0,0.0,8752512.00136
9.0,0.128,0,0,312,6.4723,25847.77728,0.0,0.0,8778359.778639998
10.0,0.102,0,0,242,6.4723,15976.225319999998,0.0,0.0,8794336.003959998
10.0,0.086,0,0,13014,6.4723,724382.4049199999,0.0,0.0,9518718.40888
11.0,0.066,0,0,8953,6.4723,382446.91254,0.0,0.0,9901165.321419999
11.0,0.087,0,0,12,6.4723,675.70812,0.0,0.0,9901841.029539999
12.0,0.072,0,0,22,6.4723,1025.2123199999999,0.0,0.0,9902866.241859999
12.0,0.057,0,0,2218,6.4723,81826.69998,0.0,0.0,9984692.941839999
13.0,0.067,0,0,0,6.4723,0.0,0.0,0.0,9984692.941839999
13.0,0.048,0,0,199,6.4723,6182.3409599999995,0.0,0.0,9990875.282799998
14.0,0.053,0,0,662,6.4723,22708.711779999998,0.0,0.0,10013583.994579999
14.0,0.064,0,0,61,6.4723,2526.78592,0.0,0.0,10016110.780499998
15.0,0.06,0,0,0,6.4723,0.0,0.0,0.0,10016110.780499998
15.0,0.032,0,0,1890,6.4723,39144.4704,0.0,0.0,10055255.250899998
16.0,0.025,0,0,422,6.4723,6828.2765,0.0,0.0,10062083.527399998
16.0,0.05,0,0,200,6.4723,6472.299999999999,0.0,0.0,10068555.827399999
