strike,put_gex,call_gex,net_gex,abs_net_gex,GSI,pressure_zone,cum_gex
0.5,5255.412,0.0,-5255.412,5255.412,0.0,False,-5255.412
1.0,47.507999999999996,0.0,-47.507999999999996,47.507999999999996,0.0,False,-5302.92
1.5,33644.01,0.0,-33644.01,33644.01,0.0,False,-38946.93
2.0,71.90400000000001,0.0,-71.90400000000001,71.90400000000001,0.0,False,-39018.834
2.5,59397.84,0.0,-59397.84,59397.84,0.0,False,-98416.674
3.0,6737.148,0.0,-6737.148,6737.148,0.0,False,-105153.822
3.5,69027.84000000001,0.0,-69027.84000000001,69027.84000000001,0.0,False,-174181.662
4.0,52018.05,0.0,-52018.05,52018.05,0.0,False,-226199.712
4.5,502131.31200000003,0.0,-502131.31200000003,502131.31200000003,0.0,False,-728331.024
5.0,545761.632,0.0,-545761.632,545761.632,0.0,True,-1274092.656
5.5,357362.88,0.0,-357362.88,357362.88,0.0,False,-1631455.5359999998
6.0,892076.9759999999,0.0,-892076.9759999999,892076.9759999999,0.0,True,-2523532.5119999996
6.5,0.0,0.0,0.0,0.0,,False,-2523532.5119999996
7.0,766255.248,0.0,-766255.248,766255.248,0.0,True,-3289787.76
8.0,108792.036,0.0,-108792.036,108792.036,0.0,False,-3398579.7959999996
8.5,0.0,0.0,0.0,0.0,,False,-3398579.7959999996
9.0,26122.980000000003,0.0,-26122.980000000003,26122.980000000003,0.0,False,-3424702.7759999996
10.0,14914.944,0.0,-14914.944,14914.944,0.0,False,-3439617.7199999997
11.0,647.136,0.0,-647.136,647.136,0.0,False,-3440264.8559999997
12.0,1031.052,0.0,-1031.052,1031.052,0.0,False,-3441295.908
13.0,0.0,0.0,0.0,0.0,,False,-3441295.908
14.0,2584.6919999999996,0.0,-2584.6919999999996,2584.6919999999996,0.0,False,-3443880.5999999996
15.0,0.0,0.0,0.0,0.0,,False,-3443880.5999999996
16.0,7575.6,0.0,-7575.6,7575.6,0.0,False,-3451456.1999999997
17.0,0.0,0.0,0.0,0.0,,False,-3451456.1999999997
18.0,0.0,0.0,0.0,0.0,,False,-3451456.1999999997
19.0,0.0,0.0,0.0,0.0,,False,-3451456.1999999997
20.0,0.0,0.0,0.0,0.0,,False,-3451456.1999999997
21.0,0.0,0.0,0.0,0.0,,False,-3451456.1999999997
