strike,call_gex,put_gex,net_gex,abs_net_gex,GSI
0.5,1899.7290000000003,5112.157,-3212.428,3212.428,0.2709298183113645
1.0,7.494,46.213,-38.719,38.719,0.13953488372093023
1.5,76519.985,32726.9225,43793.0625,43793.0625,0.7004315888758682
2.0,0.0,69.944,-69.944,69.944,0.0
2.5,0.0,57778.74,-57778.74,57778.74,0.0
3.0,0.0,6553.503000000001,-6553.503000000001,6553.503000000001,0.0
3.5,27282.5315,67146.24,-39863.70850000001,39863.70850000001,0.28892180917550114
4.0,2398.08,50600.1125,-48202.0325,48202.0325,0.0452483355918223
4.5,175190.3605,488443.93200000003,-313253.5715,313253.5715,0.26398629859833533
5.0,0.0,530884.952,-530884.952,530884.952,0.0
5.5,1063756.4385000002,347621.68,716134.7585000002,716134.7585000002,0.7537005318111003
6.0,192415.944,867760.2359999999,-675344.2919999999,675344.2919999999,0.18149430974764968
6.5,0.0,0.0,0.0,0.0,0.0
7.0,2070840.7509999997,745368.2280000001,1325472.5229999996,1325472.5229999996,0.7353292196857242
8.0,1151774.0929999999,105826.521,1045947.5719999999,1045947.5719999999,0.9158504537753033
8.5,0.0,0.0,0.0,0.0,0.0
9.0,1577188.4889999998,25410.905000000002,1551777.5839999998,1551777.5839999998,0.9841439444597718
10.0,642878.4105000001,14508.384,628370.0265000002,628370.0265000002,0.9779302168504391
11.0,330577.826,629.496,329948.33,329948.33,0.9980993898438031
12.0,80374.399,1002.947,79371.452,79371.452,0.9876753537772047
13.0,6061.397,0.0,6061.397,6061.397,1.0
14.0,14469.665,2514.2369999999996,11955.428000000002,11955.428000000002,0.8519635240476541
15.0,32861.19,0.0,32861.19,32861.19,1.0
16.0,6588.475,7369.1,-780.625,780.625,0.4720357941834452
17.0,28529.658,0.0,28529.658,28529.658,1.0
18.0,134458.597,0.0,134458.597,134458.597,1.0
19.0,15287.76,0.0,15287.76,15287.76,1.0
20.0,348898.15800000005,0.0,348898.15800000005,348898.15800000005,1.0
21.0,1261290.16,0.0,1261290.16,1261290.16,1.0
