strike,gamma,oi,underlying,GEX
174.78,0.0,109,616.99,0.0
174.78,0.0,5498,616.99,0.0
179.78,0.0,3260,616.99,0.0
179.78,0.0,90,616.99,0.0
184.78,0.0,14,616.99,0.0
184.78,0.0,766,616.99,0.0
189.78,0.0,671,616.99,0.0
189.78,0.0,29,616.99,0.0
194.78,0.0,5,616.99,0.0
194.78,0.0,527,616.99,0.0
199.78,0.0,861,616.99,0.0
199.78,0.0,285,616.99,0.0
204.78,0.0,20,616.99,0.0
204.78,0.0,797,616.99,0.0
209.78,0.0,360,616.99,0.0
209.78,0.0,70,616.99,0.0
214.78,0.0,2487,616.99,0.0
219.78,0.0,703,616.99,0.0
224.78,0.0,4695,616.99,0.0
229.78,0.0,3399,616.99,0.0
229.78,0.0,4,616.99,0.0
234.78,0.0,4503,616.99,0.0
234.78,0.0,18,616.99,0.0
239.78,0.0,1626,616.99,0.0
239.78,0.0,14,616.99,0.0
244.78,0.0,2197,616.99,0.0
249.78,0.0,3437,616.99,0.0
254.78,0.0,496,616.99,0.0
259.78,0.0,3756,616.99,0.0
264.78,0.0,5053,616.99,0.0
269.78,0.0,1985,616.99,0.0
274.78,0.0,1809,616.99,0.0
274.78,0.0,95,616.99,0.0
279.78,0.0,1422,616.99,0.0
284.78,0.0,2275,616.99,0.0
289.78,0.0,118,616.99,0.0
289.78,0.0,1266,616.99,0.0
294.78,0.0,1341,616.99,0.0
299.78,0.0,201,616.99,0.0
299.78,0.0,5582,616.99,0.0
304.78,0.0,2499,616.99,0.0
309.78,0.0,89,616.99,0.0
309.78,0.0,1615,616.99,0.0
314.78,0.0,36,616.99,0.0
314.78,0.0,2104,616.99,0.0
319.78,0.0,1557,616.99,0.0
319.78,0.0,248,616.99,0.0
324.78,0.0,49,616.99,0.0
324.78,0.0,3517,616.99,0.0
329.78,0.0,1534,616.99,0.0
329.78,0.0,50,616.99,0.0
334.78,0.0,144,616.99,0.0
334.78,0.0,5009,616.99,0.0
339.78,0.0,47,616.99,0.0
339.78,0.0,2673,616.99,0.0
344.78,0.0,7297,616.99,0.0
349.78,0.0,7732,616.99,0.0
349.78,0.0,447,616.99,0.0
354.78,0.0,4097,616.99,0.0
354.78,0.0,48,616.99,0.0
359.78,0.0,310,616.99,0.0
359.78,0.0,2270,616.99,0.0
364.78,0.0,1485,616.99,0.0
364.78,0.0,100,616.99,0.0
369.78,0.0,130,616.99,0.0
369.78,0.0,2133,616.99,0.0
370.0,0.0,3153,616.99,0.0
370.0,0.0,169,616.99,0.0
374.78,0.0,133,616.99,0.0
374.78,0.0,2061,616.99,0.0
379.78,0.0,1624,616.99,0.0
379.78,0.0,1455,616.99,0.0
380.0,0.0,192,616.99,0.0
380.0,0.0,8701,616.99,0.0
384.78,0.0,3835,616.99,0.0
389.78,0.0,2693,616.99,0.0
389.78,0.0,1710,616.99,0.0
390.0,0.0,308,616.99,0.0
390.0,0.0,2441,616.99,0.0
394.78,0.0,1569,616.99,0.0
394.78,0.0,4180,616.99,0.0
399.78,0.0,1696,616.99,0.0
400.0,0.0,1798,616.99,0.0
400.0,0.0,16317,616.99,0.0
404.78,0.0,1767,616.99,0.0
404.78,0.0,1859,616.99,0.0
409.78,0.0,143,616.99,0.0
409.78,0.0,1478,616.99,0.0
410.0,0.0,1219,616.99,0.0
410.0,0.0,694,616.99,0.0
414.78,0.0,432,616.99,0.0
414.78,0.0,2272,616.99,0.0
419.78,0.0,4245,616.99,0.0
419.78,0.0,199,616.99,0.0
420.0,0.0,1455,616.99,0.0
420.0,0.0,9669,616.99,0.0
424.78,0.0,2450,616.99,0.0
424.78,0.0,4260,616.99,0.0
429.78,0.0,1023,616.99,0.0
429.78,0.0,128,616.99,0.0
430.0,0.0,821,616.99,0.0
430.0,0.0,5221,616.99,0.0
434.78,0.0,805,616.99,0.0
434.78,0.0,303,616.99,0.0
439.78,0.0,1327,616.99,0.0
439.78,0.0,779,616.99,0.0
440.0,0.0,2970,616.99,0.0
440.0,0.0,11586,616.99,0.0
444.78,0.0,1138,616.99,0.0
444.78,0.0,3124,616.99,0.0
449.78,0.0,744,616.99,0.0
449.78,0.0,5737,616.99,0.0
450.0,0.0,15586,616.99,0.0
450.0,0.0,5816,616.99,0.0
454.78,0.0,596,616.99,0.0
454.78,0.0,14139,616.99,0.0
459.78,0.0,1963,616.99,0.0
460.0,0.0,3384,616.99,0.0
460.0,0.0,18481,616.99,0.0
464.78,0.0,349,616.99,0.0
464.78,0.0,3076,616.99,0.0
469.78,0.0,1766,616.99,0.0
470.0,0.0,1852,616.99,0.0
470.0,0.0,6569,616.99,0.0
474.78,0.0,787,616.99,0.0
474.78,0.0,3818,616.99,0.0
479.78,0.0,1464,616.99,0.0
479.78,0.0,717,616.99,0.0
480.0,0.0,6270,616.99,0.0
480.0,0.0,15924,616.99,0.0
484.78,0.0,4222,616.99,0.0
484.78,0.0,829,616.99,0.0
489.78,0.001,2233,616.99,137773.867
489.78,0.0,308,616.99,0.0
490.0,0.001,9041,616.99,557820.659
490.0,0.0,3172,616.99,0.0
494.78,0.001,1244,616.99,76753.55600000001
494.78,0.001,7791,616.99,480696.90900000004
499.78,0.001,545,616.99,33625.955
499.78,0.001,2857,616.99,176274.04300000003
500.0,0.001,32539,616.99,2007623.7610000002
500.0,0.0,5107,616.99,0.0
504.78,0.001,3160,616.99,194968.84
504.78,0.001,2625,616.99,161959.875
509.78,0.001,3655,616.99,225509.845
509.78,0.001,401,616.99,24741.299000000003
510.0,0.001,19841,616.99,1224169.8590000002
510.0,0.0,971,616.99,0.0
514.78,0.001,8333,616.99,514137.76700000005
514.78,0.001,731,616.99,45101.969
519.78,0.001,1897,616.99,117043.003
519.78,0.001,290,616.99,17892.71
520.0,0.001,3088,616.99,190526.51200000002
520.0,0.001,10237,616.99,631612.6630000001
524.78,0.001,2647,616.99,163317.25300000003
524.78,0.002,6686,616.99,825039.028
529.78,0.002,2561,616.99,316022.27800000005
529.78,0.002,1283,616.99,158319.634
530.0,0.002,30386,616.99,3749571.628
530.0,0.002,10047,616.99,1239779.706
534.78,0.002,5705,616.99,703985.59
534.78,0.002,859,616.99,105998.88200000001
539.78,0.002,4114,616.99,507659.372
539.78,0.002,783,616.99,96620.63399999999
540.0,0.002,3391,616.99,418442.618
540.0,0.002,21251,616.99,2622330.898
544.78,0.003,10920,616.99,2021259.24
544.78,0.002,2606,616.99,321575.18799999997
549.78,0.003,5238,616.99,969538.0860000001
549.78,0.003,1192,616.99,220635.624
550.0,0.003,19660,616.99,3639007.02
550.0,0.003,52003,616.99,9625599.291000001
554.78,0.004,5146,616.99,1270012.216
554.78,0.003,1287,616.99,238219.839
559.78,0.004,7178,616.99,1771501.6879999998
559.78,0.004,5360,616.99,1322826.56
560.0,0.004,32013,616.99,7900680.347999999
560.0,0.004,588,616.99,145116.04799999998
564.78,0.005,7385,616.99,2278235.575
564.78,0.005,2776,616.99,856382.12
569.78,0.006,5095,616.99,1886138.43
569.78,0.006,2376,616.99,879580.9439999999
570.0,0.006,502,616.99,185837.388
570.0,0.006,29839,616.99,11046218.765999999
574.78,0.006,3191,616.99,1181289.054
574.78,0.006,13987,616.99,5177903.477999999
579.78,0.007,4355,616.99,1880894.0150000001
579.78,0.007,2481,616.99,1071526.533
580.0,0.007,1604,616.99,692756.372
580.0,0.007,43306,616.99,18703558.258
584.78,0.008,11306,616.99,5580551.152000001
584.78,0.008,2433,616.99,1200909.336
589.78,0.009,3324,616.99,1845787.2839999998
589.78,0.009,5671,616.99,3149055.261
590.0,0.009,27677,616.99,15368789.007
590.0,0.009,3718,616.99,2064571.9379999998
594.78,0.01,5950,616.99,3671090.5
594.78,0.01,8016,616.99,4945791.84
599.78,0.011,3386,616.99,2298040.954
599.78,0.012,3943,616.99,2919349.884
600.0,0.012,26697,616.99,19766138.436
600.0,0.011,61957,616.99,42049534.372999996
604.78,0.012,14826,616.99,10976992.488
604.78,0.012,13561,616.99,10040401.668000001
609.78,0.013,2954,616.99,2369364.998
609.78,0.012,3809,616.99,2820137.892
610.0,0.013,21608,616.99,17331495.896
610.0,0.013,14479,616.99,11613417.673
615.0,0.014,14793,616.99,12777986.298
615.0,0.013,16330,616.99,13098080.71
620.0,0.013,11418,616.99,9158229.366
620.0,0.013,25196,616.99,20209384.052
625.0,0.013,29396,616.99,23578149.451999996
625.0,0.012,16643,616.99,12322277.484000001
630.0,0.011,11276,616.99,7652897.163999999
630.0,0.012,34874,616.99,25820291.112000003
635.0,0.01,19689,616.99,12147916.11
635.0,0.01,6912,616.99,4264634.88
640.0,0.008,7322,616.99,3614080.6240000003
640.0,0.008,37272,616.99,18397161.024
645.0,0.006,6613,616.99,2448092.9220000003
645.0,0.007,403,616.99,174052.87900000002
650.0,0.006,2470,616.99,914379.18
650.0,0.005,42186,616.99,13014170.07
655.0,0.004,18014,616.99,4445783.143999999
655.0,0.006,368,616.99,136231.39200000002
660.0,0.003,9132,616.99,1690305.804
660.0,0.005,931,616.99,287208.84500000003
665.0,0.004,94,616.99,23198.824
665.0,0.002,9807,616.99,1210164.186
670.0,0.002,16132,616.99,1990656.536
670.0,0.004,16,616.99,3948.7360000000003
675.0,0.004,44,616.99,10859.024
675.0,0.001,12425,616.99,766610.075
680.0,0.001,14939,616.99,921721.361
680.0,0.004,42,616.99,10365.432
685.0,0.003,41,616.99,7588.977000000001
685.0,0.001,5784,616.99,356867.016
690.0,0.001,8071,616.99,497972.629
690.0,0.003,0,616.99,0.0
695.0,0.0,1008,616.99,0.0
700.0,0.0,16777,616.99,0.0
700.0,0.003,1,616.99,185.097
705.0,0.0,8834,616.99,0.0
710.0,0.0,2908,616.99,0.0
715.0,0.0,19550,616.99,0.0
720.0,0.0,3728,616.99,0.0
725.0,0.0,10299,616.99,0.0
730.0,0.0,2514,616.99,0.0
735.0,0.0,15579,616.99,0.0
740.0,0.0,10229,616.99,0.0
745.0,0.0,1592,616.99,0.0
750.0,0.0,30482,616.99,0.0
750.0,0.002,3,616.99,370.194
755.0,0.002,0,616.99,0.0
755.0,0.0,3725,616.99,0.0
760.0,0.0,39104,616.99,0.0
760.0,0.001,0,616.99,0.0
765.0,0.0,771,616.99,0.0
770.0,0.0,7091,616.99,0.0
775.0,0.0,1926,616.99,0.0
780.0,0.0,3776,616.99,0.0
785.0,0.0,3465,616.99,0.0
790.0,0.0,35856,616.99,0.0
