strike,gamma,vanna,charm,oi,underlying,GEX,VannaExp,CharmExp,cum_gex
174.78,0.0,0,0,109,616.99,0.0,0.0,0.0,0.0
174.78,0.0,0,0,5498,616.99,0.0,0.0,0.0,0.0
179.78,0.0,0,0,3260,616.99,0.0,0.0,0.0,0.0
179.78,0.0,0,0,90,616.99,0.0,0.0,0.0,0.0
184.78,0.0,0,0,14,616.99,0.0,0.0,0.0,0.0
184.78,0.0,0,0,766,616.99,0.0,0.0,0.0,0.0
189.78,0.0,0,0,671,616.99,0.0,0.0,0.0,0.0
189.78,0.0,0,0,29,616.99,0.0,0.0,0.0,0.0
194.78,0.0,0,0,5,616.99,0.0,0.0,0.0,0.0
194.78,0.0,0,0,527,616.99,0.0,0.0,0.0,0.0
199.78,0.0,0,0,285,616.99,0.0,0.0,0.0,0.0
199.78,0.0,0,0,861,616.99,0.0,0.0,0.0,0.0
204.78,0.0,0,0,796,616.99,0.0,0.0,0.0,0.0
204.78,0.0,0,0,21,616.99,0.0,0.0,0.0,0.0
209.78,0.0,0,0,70,616.99,0.0,0.0,0.0,0.0
209.78,0.0,0,0,360,616.99,0.0,0.0,0.0,0.0
214.78,0.0,0,0,2487,616.99,0.0,0.0,0.0,0.0
219.78,0.0,0,0,703,616.99,0.0,0.0,0.0,0.0
224.78,0.0,0,0,4695,616.99,0.0,0.0,0.0,0.0
229.78,0.0,0,0,3399,616.99,0.0,0.0,0.0,0.0
229.78,0.0,0,0,4,616.99,0.0,0.0,0.0,0.0
234.78,0.0,0,0,4503,616.99,0.0,0.0,0.0,0.0
234.78,0.0,0,0,18,616.99,0.0,0.0,0.0,0.0
239.78,0.0,0,0,1626,616.99,0.0,0.0,0.0,0.0
239.78,0.0,0,0,14,616.99,0.0,0.0,0.0,0.0
244.78,0.0,0,0,2210,616.99,0.0,0.0,0.0,0.0
249.78,0.0,0,0,3485,616.99,0.0,0.0,0.0,0.0
254.78,0.0,0,0,570,616.99,0.0,0.0,0.0,0.0
259.78,0.0,0,0,64,617.865,0.0,0.0,0.0,0.0
259.78,0.0,0,0,3756,616.99,0.0,0.0,0.0,0.0
264.78,0.0,0,0,5053,616.99,0.0,0.0,0.0,0.0
269.78,0.0,0,0,1985,616.99,0.0,0.0,0.0,0.0
274.78,0.0,0,0,1809,616.99,0.0,0.0,0.0,0.0
274.78,0.0,0,0,95,616.99,0.0,0.0,0.0,0.0
279.78,0.0,0,0,1421,616.99,0.0,0.0,0.0,0.0
284.78,0.0,0,0,2275,616.99,0.0,0.0,0.0,0.0
289.78,0.0,0,0,118,616.99,0.0,0.0,0.0,0.0
289.78,0.0,0,0,1266,616.99,0.0,0.0,0.0,0.0
294.78,0.0,0,0,1341,616.99,0.0,0.0,0.0,0.0
299.78,0.0,0,0,5582,616.99,0.0,0.0,0.0,0.0
299.78,0.0,0,0,206,616.99,0.0,0.0,0.0,0.0
304.78,0.0,0,0,2499,616.99,0.0,0.0,0.0,0.0
309.78,0.0,0,0,89,616.99,0.0,0.0,0.0,0.0
309.78,0.0,0,0,1615,616.99,0.0,0.0,0.0,0.0
314.78,0.0,0,0,2140,616.99,0.0,0.0,0.0,0.0
314.78,0.0,0,0,36,616.99,0.0,0.0,0.0,0.0
319.78,0.0,0,0,248,616.99,0.0,0.0,0.0,0.0
319.78,0.0,0,0,1560,616.99,0.0,0.0,0.0,0.0
324.78,0.0,0,0,3515,616.99,0.0,0.0,0.0,0.0
324.78,0.0,0,0,49,616.99,0.0,0.0,0.0,0.0
329.78,0.0,0,0,50,616.99,0.0,0.0,0.0,0.0
329.78,0.0,0,0,1534,616.99,0.0,0.0,0.0,0.0
334.78,0.0,0,0,5009,616.99,0.0,0.0,0.0,0.0
334.78,0.0,0,0,144,616.99,0.0,0.0,0.0,0.0
339.78,0.0,0,0,47,616.99,0.0,0.0,0.0,0.0
339.78,0.0,0,0,2673,616.99,0.0,0.0,0.0,0.0
344.78,0.0,0,0,7297,616.99,0.0,0.0,0.0,0.0
349.78,0.0,0,0,442,616.99,0.0,0.0,0.0,0.0
349.78,0.0,0,0,7732,616.99,0.0,0.0,0.0,0.0
354.78,0.0,0,0,48,616.99,0.0,0.0,0.0,0.0
354.78,0.0,0,0,4097,616.99,0.0,0.0,0.0,0.0
359.78,0.0,0,0,2271,616.99,0.0,0.0,0.0,0.0
359.78,0.0,0,0,310,616.99,0.0,0.0,0.0,0.0
364.78,0.0,0,0,1635,616.99,0.0,0.0,0.0,0.0
364.78,0.0,0,0,100,616.99,0.0,0.0,0.0,0.0
369.78,0.0,0,0,130,616.99,0.0,0.0,0.0,0.0
369.78,0.0,0,0,2133,616.99,0.0,0.0,0.0,0.0
370.0,0.0,0,0,169,616.99,0.0,0.0,0.0,0.0
370.0,0.0,0,0,3151,616.99,0.0,0.0,0.0,0.0
374.78,0.0,0,0,133,616.99,0.0,0.0,0.0,0.0
374.78,0.0,0,0,2086,616.99,0.0,0.0,0.0,0.0
379.78,0.0,0,0,1455,616.99,0.0,0.0,0.0,0.0
379.78,0.0,0,0,1624,616.99,0.0,0.0,0.0,0.0
380.0,0.0,0,0,8701,616.99,0.0,0.0,0.0,0.0
380.0,0.0,0,0,192,616.99,0.0,0.0,0.0,0.0
384.78,0.0,0,0,3960,616.99,0.0,0.0,0.0,0.0
384.78,0.0,0,0,570,616.99,0.0,0.0,0.0,0.0
389.78,0.0,0,0,2693,616.99,0.0,0.0,0.0,0.0
389.78,0.0,0,0,2710,616.99,0.0,0.0,0.0,0.0
390.0,0.0,0,0,2441,616.99,0.0,0.0,0.0,0.0
390.0,0.0,0,0,308,616.99,0.0,0.0,0.0,0.0
394.78,0.0,0,0,1569,616.99,0.0,0.0,0.0,0.0
394.78,0.0,0,0,4111,616.99,0.0,0.0,0.0,0.0
399.78,0.0,0,0,1067,616.99,0.0,0.0,0.0,0.0
399.78,0.0,0,0,2168,616.99,0.0,0.0,0.0,0.0
400.0,0.0,0,0,1797,616.99,0.0,0.0,0.0,0.0
400.0,0.0,0,0,16347,616.99,0.0,0.0,0.0,0.0
404.78,0.0,0,0,1768,616.99,0.0,0.0,0.0,0.0
404.78,0.0,0,0,1859,616.99,0.0,0.0,0.0,0.0
409.78,0.0,0,0,1478,616.99,0.0,0.0,0.0,0.0
409.78,0.0,0,0,143,616.99,0.0,0.0,0.0,0.0
410.0,0.0,0,0,1219,616.99,0.0,0.0,0.0,0.0
410.0,0.0,0,0,694,616.99,0.0,0.0,0.0,0.0
414.78,0.0,0,0,432,616.99,0.0,0.0,0.0,0.0
414.78,0.0,0,0,2295,616.99,0.0,0.0,0.0,0.0
419.78,0.0,0,0,199,616.99,0.0,0.0,0.0,0.0
419.78,0.0,0,0,4244,616.99,0.0,0.0,0.0,0.0
420.0,0.0,0,0,9667,616.99,0.0,0.0,0.0,0.0
420.0,0.0,0,0,1454,616.99,0.0,0.0,0.0,0.0
424.78,0.0,0,0,2448,616.99,0.0,0.0,0.0,0.0
424.78,0.0,0,0,4260,616.99,0.0,0.0,0.0,0.0
429.78,0.0,0,0,128,616.99,0.0,0.0,0.0,0.0
429.78,0.0,0,0,1024,616.99,0.0,0.0,0.0,0.0
430.0,0.0,0,0,821,616.99,0.0,0.0,0.0,0.0
430.0,0.0,0,0,5282,616.99,0.0,0.0,0.0,0.0
434.78,0.0,0,0,805,616.99,0.0,0.0,0.0,0.0
434.78,0.0,0,0,304,616.99,0.0,0.0,0.0,0.0
439.78,0.0,0,0,1327,616.99,0.0,0.0,0.0,0.0
439.78,0.0,0,0,778,616.99,0.0,0.0,0.0,0.0
440.0,0.0,0,0,2969,616.99,0.0,0.0,0.0,0.0
440.0,0.0,0,0,11583,616.99,0.0,0.0,0.0,0.0
444.78,0.0,0,0,3123,616.99,0.0,0.0,0.0,0.0
444.78,0.0,0,0,1138,616.99,0.0,0.0,0.0,0.0
449.78,0.0,0,0,5699,616.99,0.0,0.0,0.0,0.0
449.78,0.0,0,0,744,616.99,0.0,0.0,0.0,0.0
450.0,0.0,0,0,5817,616.99,0.0,0.0,0.0,0.0
