strike,call_gex,put_gex,net_gex,abs_net_gex,GSI,pressure_zone
174.78,0.0,0.0,0.0,0.0,0.0,False
179.78,0.0,0.0,0.0,0.0,0.0,False
184.78,0.0,0.0,0.0,0.0,0.0,False
189.78,0.0,0.0,0.0,0.0,0.0,False
194.78,0.0,0.0,0.0,0.0,0.0,False
199.78,0.0,0.0,0.0,0.0,0.0,False
204.78,0.0,0.0,0.0,0.0,0.0,False
209.78,0.0,0.0,0.0,0.0,0.0,False
214.78,0.0,0.0,0.0,0.0,0.0,False
219.78,0.0,0.0,0.0,0.0,0.0,False
224.78,0.0,0.0,0.0,0.0,0.0,False
229.78,0.0,0.0,0.0,0.0,0.0,False
234.78,0.0,0.0,0.0,0.0,0.0,False
239.78,0.0,0.0,0.0,0.0,0.0,False
244.78,0.0,0.0,0.0,0.0,0.0,False
249.78,0.0,0.0,0.0,0.0,0.0,False
254.78,0.0,0.0,0.0,0.0,0.0,False
259.78,0.0,0.0,0.0,0.0,0.0,False
264.78,0.0,0.0,0.0,0.0,0.0,False
269.78,0.0,0.0,0.0,0.0,0.0,False
274.78,0.0,0.0,0.0,0.0,0.0,False
279.78,0.0,0.0,0.0,0.0,0.0,False
284.78,0.0,0.0,0.0,0.0,0.0,False
289.78,0.0,0.0,0.0,0.0,0.0,False
294.78,0.0,0.0,0.0,0.0,0.0,False
299.78,0.0,0.0,0.0,0.0,0.0,False
304.78,0.0,0.0,0.0,0.0,0.0,False
309.78,0.0,0.0,0.0,0.0,0.0,False
314.78,0.0,0.0,0.0,0.0,0.0,False
319.78,0.0,0.0,0.0,0.0,0.0,False
324.78,0.0,0.0,0.0,0.0,0.0,False
329.78,0.0,0.0,0.0,0.0,0.0,False
334.78,0.0,0.0,0.0,0.0,0.0,False
339.78,0.0,0.0,0.0,0.0,0.0,False
344.78,0.0,0.0,0.0,0.0,0.0,False
349.78,0.0,0.0,0.0,0.0,0.0,False
354.78,0.0,0.0,0.0,0.0,0.0,False
359.78,0.0,0.0,0.0,0.0,0.0,False
364.78,0.0,0.0,0.0,0.0,0.0,False
369.78,0.0,0.0,0.0,0.0,0.0,False
370.0,0.0,0.0,0.0,0.0,0.0,False
374.78,0.0,0.0,0.0,0.0,0.0,False
379.78,0.0,0.0,0.0,0.0,0.0,False
380.0,0.0,0.0,0.0,0.0,0.0,False
384.78,0.0,0.0,0.0,0.0,0.0,False
389.78,0.0,0.0,0.0,0.0,0.0,False
390.0,0.0,0.0,0.0,0.0,0.0,False
394.78,0.0,0.0,0.0,0.0,0.0,False
399.78,0.0,0.0,0.0,0.0,0.0,False
400.0,0.0,0.0,0.0,0.0,0.0,False
404.78,0.0,0.0,0.0,0.0,0.0,False
409.78,0.0,0.0,0.0,0.0,0.0,False
410.0,0.0,0.0,0.0,0.0,0.0,False
414.78,0.0,0.0,0.0,0.0,0.0,False
419.78,0.0,0.0,0.0,0.0,0.0,False
420.0,0.0,0.0,0.0,0.0,0.0,False
424.78,0.0,0.0,0.0,0.0,0.0,False
429.78,0.0,0.0,0.0,0.0,0.0,False
430.0,0.0,0.0,0.0,0.0,0.0,False
434.78,0.0,0.0,0.0,0.0,0.0,False
439.78,0.0,0.0,0.0,0.0,0.0,False
440.0,0.0,0.0,0.0,0.0,0.0,False
444.78,0.0,0.0,0.0,0.0,0.0,False
449.78,0.0,0.0,0.0,0.0,0.0,False
450.0,0.0,0.0,0.0,0.0,0.0,False
454.78,0.0,0.0,0.0,0.0,0.0,False
459.78,0.0,0.0,0.0,0.0,0.0,False
460.0,0.0,0.0,0.0,0.0,0.0,False
464.78,0.0,0.0,0.0,0.0,0.0,False
469.78,34261.731,0.0,34261.731,34261.731,1.0,False
470.0,0.0,0.0,0.0,0.0,0.0,False
474.78,49558.257,0.0,49558.257,49558.257,1.0,False
479.78,44583.776999999995,0.0,44583.776999999995,44583.776999999995,1.0,False
480.0,389750.5079999999,0.0,389750.5079999999,389750.5079999999,1.0,False
484.78,51858.95399999999,0.0,51858.95399999999,51858.95399999999,1.0,False
489.78,19151.748,0.0,19151.748,19151.748,1.0,False
490.0,197238.13199999998,0.0,197238.13199999998,197238.13199999998,1.0,False
494.78,77353.16399999999,0.0,77353.16399999999,77353.16399999999,1.0,False
499.78,33888.645000000004,0.0,33888.645000000004,33888.645000000004,1.0,False
500.0,324584.81999999995,0.0,324584.81999999995,324584.81999999995,1.0,False
504.78,163225.125,0.0,163225.125,163225.125,1.0,False
509.78,24934.581,216949.50899999996,-192014.92799999996,192014.92799999996,0.10308483290488432,False
510.0,60253.38899999999,1244614.896,-1184361.507,1184361.507,0.04617583988563259,False
514.78,45516.492,519149.16899999994,-473632.6769999999,473632.6769999999,0.08060786257020153,False
519.78,18032.489999999998,117708.633,-99676.14300000001,99676.14300000001,0.13284470911589555,False
520.0,192077.10899999997,660610.944,-468533.8350000001,468533.8350000001,0.2252607015241012,False
524.78,164530.92599999998,403057.24199999997,-238526.316,238526.316,0.2898773006134969,False
529.78,159556.44599999997,159494.26499999998,62.180999999982305,62.180999999982305,0.5000974468914441,False
