strike,call_gex,put_gex,net_gex
530.0,124.362,0.0,124.362
535.0,0.0,0.0,0.0
540.0,124.362,0.0,124.362
545.0,0.0,0.0,0.0
550.0,3917.4030000000002,0.0,3917.4030000000002
555.0,2238.516,0.0,2238.516
560.0,2860.326,1927.6109999999999,932.7150000000001
565.0,248.724,14985.620999999997,-14736.896999999997
569.0,0.0,0.0,0.0
570.0,621.81,251895.23099999997,-251273.42099999997
571.0,0.0,0.0,0.0
572.0,0.0,0.0,0.0
573.0,0.0,0.0,0.0
574.0,0.0,0.0,0.0
575.0,621.81,847837.9349999999,-847216.1249999999
576.0,0.0,0.0,0.0
577.0,0.0,0.0,0.0
578.0,0.0,0.0,0.0
579.0,0.0,0.0,0.0
580.0,6155.918999999999,422644.257,-416488.338
581.0,0.0,0.0,0.0
582.0,0.0,0.0,0.0
583.0,0.0,0.0,0.0
584.0,0.0,53786.564999999995,-53786.564999999995
585.0,1243.62,470647.989,-469404.369
586.0,497.448,317496.186,-316998.738
587.0,186.54299999999998,82638.549,-82452.006
588.0,932.7149999999999,162727.67699999997,-161794.96199999997
589.0,0.0,71135.06399999998,-71135.06399999998
590.0,16788.87,2214762.858,-2197973.988
591.0,3730.8599999999997,217509.138,-213778.27800000002
592.0,6902.090999999999,197300.313,-190398.222
593.0,870.534,558136.656,-557266.122
594.0,7337.357999999999,464865.15599999996,-457527.79799999995
595.0,58201.416,2773521.3239999996,-2715319.9079999994
596.0,6031.556999999999,439992.756,-433961.199
597.0,7834.805999999999,432655.398,-424820.592
598.0,66533.67,596626.695,-530093.0249999999
599.0,143638.11,883094.5619999998,-739456.4519999998
600.0,680508.8639999998,7526885.687999999,-6846376.823999999
601.0,415928.7089999999,1151032.491,-735103.782
602.0,1798336.701,3091328.414999999,-1292991.7139999992
603.0,4555255.698,1993522.8599999999,2561732.838
604.0,806860.6559999998,1606570.4969999997,-799709.8409999999
605.0,2579019.156,5996735.64,-3417716.4839999997
606.0,855175.293,4004767.3049999997,-3149592.0119999996
607.0,1025364.6899999997,5782149.009,-4756784.319
608.0,5029696.728,2576158.8299999996,2453537.8980000005
609.0,2521315.1879999996,5562463.535999999,-3041148.3479999998
610.0,8583278.696999999,11405363.382,-2822084.6850000005
611.0,4441961.915999999,8882928.935999999,-4440967.02
612.0,7286804.846999999,6148457.279999999,1138347.5669999998
613.0,3928222.4939999995,10916309.816999998,-6988087.322999999
614.0,4300748.864999999,4496494.652999999,-195745.7879999997
615.0,22548322.944,15497432.810999999,7050890.132999999
616.0,13928730.543,8981237.097,4947493.446
617.0,21904500.869999997,9765215.144999998,12139285.725
618.0,12071943.702,4729113.773999999,7342829.928
619.0,8895116.411999999,3893463.3149999995,5001653.096999999
620.0,39215442.546,22312470.411,16902972.134999998
621.0,11287468.205999998,4491147.086999999,6796321.118999999
622.0,15702505.749,6919874.766000001,8782630.983
623.0,18094111.371,3549602.385,14544508.986
624.0,9669021.138,2594999.6729999995,7074021.465000001
625.0,45345929.517,2589403.383,42756526.133999996
626.0,5373122.390999999,877995.72,4495126.670999999
627.0,6474969.710999998,604399.3200000001,5870570.390999998
628.0,6817276.116,495458.2079999999,6321817.908000001
629.0,1577034.5219999999,106453.87199999999,1470580.65
630.0,9097018.118999999,256931.89199999996,8840086.227
631.0,2119750.29,66160.584,2053589.706
632.0,2520817.7399999998,49558.257,2471259.4829999995
633.0,1076664.015,31339.223999999995,1045324.7909999999
634.0,614845.728,10570.769999999999,604274.958
635.0,4235831.901,25742.933999999997,4210088.966999999
636.0,434645.18999999994,31836.672,402808.5179999999
637.0,931160.475,21514.626000000004,909645.8489999999
638.0,419721.74999999994,25618.572,394103.17799999996
639.0,85934.14199999999,248.724,85685.41799999999
640.0,643324.6259999999,19089.567,624235.0589999999
641.0,58201.416,4850.1179999999995,53351.297999999995
642.0,30779.595,17908.128,12871.467
643.0,67404.204,4103.946,63300.258
644.0,34013.007,17535.042,16477.964999999997
645.0,114661.76399999998,4103.946,110557.81799999998
646.0,45205.587,870.534,44335.053
647.0,36189.342,8456.616,27732.725999999995
648.0,21825.531,124.362,21701.168999999998
649.0,41536.907999999996,6342.462,35194.445999999996
650.0,245055.32099999997,3357.774,241697.54699999996
651.0,9513.693,0.0,9513.693
652.0,0.0,0.0,0.0
653.0,0.0,0.0,0.0
654.0,0.0,0.0,0.0
655.0,41847.812999999995,0.0,41847.812999999995
656.0,0.0,0.0,0.0
657.0,0.0,0.0,0.0
658.0,0.0,0.0,0.0
659.0,0.0,0.0,0.0
660.0,0.0,186.54299999999998,-186.54299999999998
665.0,0.0,0.0,0.0
670.0,0.0,0.0,0.0
675.0,0.0,0.0,0.0
680.0,0.0,0.0,0.0
685.0,0.0,0.0,0.0
690.0,0.0,0.0,0.0
695.0,0.0,0.0,0.0
700.0,0.0,0.0,0.0
705.0,0.0,0.0,0.0
710.0,0.0,0.0,0.0
