strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
615.0,6789.6972,409991.12440000003,3227840.044,-8223922.1064,-0.017423412985759112,-403201.42720000003
620.0,6734.3276,447960.8276,2668309.4724,-7554586.696800001,-0.016030585831062674,-441226.5
621.0,2547.0015999999996,34675.212,1047703.5712,-433440.15,0.017166537717601547,-32128.2104
622.0,166.1088,29006.749200000002,65412.2612,-400820.5344,-0.01268612565445026,-28840.6404
623.0,996.6528,34640.606,392141.3496,-494415.92199999996,-0.0032054229934924067,-33643.953199999996
624.0,1661.088,36710.044799999996,653638.128,-495585.6048,0.005052212389380534,-35048.95679999999
625.0,39817.66360000001,1570766.34,15022589.181599999,-19562958.6724,-0.002979962750976651,-1530948.6764
626.0,1439.6096,23670.504,521803.11039999995,-265109.6448,0.01059657142857143,-22230.8944
627.0,2339.3656,51992.0544,847750.1031999999,-1011678.7251999999,-0.007265337423312881,-49652.6888
628.0,10838.5992,84265.61,3777853.9656,-1719018.444,0.05458128440366973,-73427.0108
629.0,1868.7240000000002,53127.131199999996,650385.164,-819276.2864,-0.005894202898550722,-51258.407199999994
630.0,13240.2556,255198.4864,4420141.325600001,-3932736.5791999996,0.003165033707865171,-241958.2308
631.0,1405.0035999999998,73295.508,454930.47599999997,-991932.5415999999,-0.010881907433380083,-71890.5044
632.0,108988.1364,30591.704,35236991.9616,-454286.8044,0.6577920157068063,78396.4324
633.0,7087.3088,33533.214,2055098.0735999998,-476524.62,0.07946968641114982,-26445.9052
634.0,10727.86,199911.94079999998,3238775.5399999996,-3763859.2992000007,-0.007252963671128118,-189184.0808
635.0,9066.772,281900.476,2567516.0368,-4567825.8912,-0.01630993227990971,-272833.704
636.0,6395.1888,58006.5772,1805768.7648,-1046118.6163999998,0.03462365930599369,-51611.388399999996
637.0,6118.3408,69385.03,1671386.7455999998,-1013021.4380000001,0.022277049180327864,-63266.6892
638.0,941.2832,114241.32719999999,257330.21600000001,-1452496.8743999999,-0.021858481012658228,-113300.04399999998
639.0,1993.3056,47673.2256,512667.12639999995,-623724.7015999999,-0.005439322033898303,-45679.92
640.0,21538.774400000002,702072.6855999999,5296164.530799999,-10410398.398400001,-0.01857990947950717,-680533.9111999999
641.0,1792.5908,178871.4928,448874.426,-2435404.1712,-0.028673426573426575,-177078.902
642.0,809.7804,42046.29000000001,191170.46519999998,-531465.1056000001,-0.01998658536585366,-41236.509600000005
643.0,3045.3279999999995,96613.03080000001,702252.6368,-1205873.7548000002,-0.013781250000000004,-93567.70280000001
644.0,1135.0768,297666.9696,254589.4208,-4306868.9664,-0.04343382789317508,-296531.89280000003
645.0,18147.3864,1124418.1519999998,3852575.2408,-18938548.772,-0.050867584597432916,-1106270.7655999998
646.0,892.8348000000001,64865.4864,190506.03,-858976.2895999999,-0.03365261324041812,-63972.651600000005
647.0,234836.31599999996,131544.32719999997,47739613.7504,-1752634.7124,0.5060445544554455,103291.98879999999
648.0,70589.31880000001,191855.664,13665791.7396,-2584722.14,0.16221205673758868,-121266.34519999998
649.0,2076.36,85739.8256,369550.55280000006,-1143949.7784000002,-0.03370120481927711,-83663.4656
650.0,32294.319199999994,2850343.9535999997,6147569.0276,-46776168.868,-0.06135849273544476,-2818049.6344
651.0,12333.5784,470918.448,2015169.6708000002,-6245275.608,-0.03697404718693285,-458584.8696
652.0,1903.3299999999997,278772.0936,305536.374,-3604124.9244,-0.04943900414937759,-276868.7636
653.0,9073.6932,351126.3184,1394324.1884,-4556661.995599999,-0.03885255102040815,-342052.6252
654.0,4083.508,331027.15359999996,603943.9120000001,-4070129.3204,-0.04565241567912488,-326943.6456
655.0,53196.343199999996,1896367.2728,7580153.6096,-27006909.9872,-0.05153962541314727,-1843170.9296
656.0,5232.4272,654662.4656,718337.5056,-8611329.3552,-0.06228334243582742,-649430.0384
657.0,4498.78,101637.822,595915.32,-1352707.0128000001,-0.039474368231046934,-97139.042
658.0,18085.0956,158834.6188,2313002.7492,-1882040.3887999998,0.013192161016949155,-140749.5232
659.0,11939.07,267767.3856,1476118.93,-3692598.6240000003,-0.049344375963020035,-255828.31559999997
660.0,170815.216,3788471.0863999994,20035462.0752,-55688743.4532,-0.05947713889851056,-3617655.8703999994
661.0,8706.8696,181778.39680000002,990229.9264,-2392963.3727999995,-0.04955305623471881,-173071.5272
662.0,24722.5264,401152.75200000004,2762417.0288,-5721998.282000001,-0.05018908450704226,-376430.22560000006
663.0,8748.3968,319759.44,924893.7984000001,-4788086.160000001,-0.09061168831168832,-311011.0432
664.0,27241.843200000003,663327.808,2755080.5568000004,-9684585.9968,-0.08035313001605136,-636085.9648
665.0,88909.73520000001,2978912.1647999994,8711645.228,-47925115.7528,-0.10724406587166382,-2890002.4295999995
666.0,62623.01759999999,969023.3696000001,5831858.4896,-15107955.262399998,-0.07907044247787608,-906400.3520000001
667.0,21801.78,666040.9184000001,1953439.4880000001,-9838582.6968,-0.10539074930619796,-644239.1384
668.0,14313.0416,593340.6336,1233205.5735999998,-8992818.978,-0.12252863387978141,-579027.592
669.0,83919.55000000002,411119.28,6893515.2,-5731002.763200001,0.023360778859527108,-327199.73
670.0,217720.18839999998,7807902.616800001,17192593.0176,-141115128.6688,-0.15762634034686152,-7590182.428400001
671.0,19960.7408,602213.612,1511783.8736,-9033204.180000002,-0.1326888888888889,-582252.8711999999
672.0,88037.664,1240867.342,6386052.816,-18515898.772800002,-0.10438141751042287,-1152829.6779999998
673.0,51472.964400000004,1488286.3996000004,3556735.4680000003,-24600498.7228,-0.16224541088580577,-1436813.4352000004
674.0,66478.126,655686.8032,4416971.416,-10977466.1568,-0.11164711425206124,-589208.6771999999
675.0,212259.36159999997,11367697.255200002,13609889.2072,-238364840.6568,-0.2294454038013142,-11155437.893600002
676.0,97187.49040000001,2546157.2136,5960288.276799999,-44433314.9832,-0.19274348127600555,-2448969.7232
677.0,37457.534400000004,4930275.2928,2189895.3648,-93160127.1744,-0.24521843283582087,-4892817.7584
678.0,179646.6672,1876185.0536000002,10108689.447999999,-34167708.0888,-0.16435621749408985,-1696538.3864000002
679.0,92674.868,710115.12,4970224.4592,-12564303.5232,-0.13941804320203305,-617440.252
680.0,721465.888,14626225.899999999,38142740.121199995,-318668160.5536,-0.25317838091073774,-13904760.011999998
681.0,99976.734,1123670.6624,4969213.964000001,-24205097.488,-0.22799589827727643,-1023693.9284000001
682.0,1188923.736,986852.3807999999,56040769.527600005,-20255777.7136,0.24149205978514712,202071.3552000001
683.0,1212926.4576,3430229.7744,54581690.59200001,-74783406.81240001,-0.06642733272644519,-2217303.3168
684.0,430581.6944,1998454.9728,18187086.4032,-44644729.9584,-0.1715752244165171,-1567873.2784000002
685.0,1220200.6388,11381830.345600002,50036739.2668,-269845420.53040004,-0.27354653746770025,-10161629.7068
