strike,gamma,oi,underlying,GEX
0.5,0.0,10,3.485,0.0
0.5,0.0,110,3.485,0.0
1.0,0.0,107,3.485,0.0
1.0,0.0,89,3.485,0.0
1.5,0.0,15,3.485,0.0
1.5,0.0,116,3.485,0.0
2.0,0.0,486,3.485,0.0
2.0,0.0,633,3.485,0.0
2.5,0.058,13,3.485,262.769
2.5,0.058,122,3.485,2465.986
3.0,0.457,4396,3.485,700126.742
3.0,0.518,2208,3.485,398594.78400000004
3.5,1.483,2780,3.485,1436774.8900000001
3.5,1.418,1469,3.485,725940.1369999999
4.0,0.433,4863,3.485,733829.1315
4.0,0.364,9363,3.485,1187734.002
4.5,0.0,1859,3.485,0.0
4.5,0.119,4763,3.485,197528.7545
5.0,0.019,14356,3.485,95058.254
5.0,0.0,420,3.485,0.0
5.5,0.002,6,3.485,4.1819999999999995
5.5,0.002,2718,3.485,1894.446
6.0,0.0,14728,3.485,0.0
6.0,0.0,265,3.485,0.0
6.5,0.0,3,3.485,0.0
6.5,0.0,109,3.485,0.0
7.0,0.0,10375,3.485,0.0
7.0,0.0,148,3.485,0.0
7.5,0.0,1,3.485,0.0
7.5,0.0,0,3.485,0.0
8.0,0.0,5171,3.485,0.0
8.0,0.0,10,3.485,0.0
8.5,0.0,0,3.485,0.0
8.5,0.0,1,3.485,0.0
9.0,0.0,0,3.485,0.0
9.0,0.0,1023,3.485,0.0
10.0,0.0,3975,3.485,0.0
10.0,0.0,0,3.485,0.0
11.0,0.0,0,3.485,0.0
11.0,0.0,1234,3.485,0.0
12.0,0.0,1507,3.485,0.0
12.0,0.0,0,3.485,0.0
