strike,gamma,vanna,charm,oi,underlying,GEX,VannaExp,CharmExp,cum_gex
1,0.0,0,0,2,3.54,0.0,0.0,0.0,0.0
1,0.022,0,0,0,3.54,0.0,0.0,0.0,0.0
2,0.082,0,0,11,3.54,319.308,0.0,0.0,319.308
2,0.074,0,0,83,3.54,2174.2679999999996,0.0,0.0,2493.5759999999996
3,0.227,0,0,915,3.54,73527.57,0.0,0.0,76021.14600000001
3,0.248,0,0,1783,3.54,156533.13599999997,0.0,0.0,232554.28199999998
4,0.295,0,0,1231,3.54,128553.33,0.0,0.0,361107.61199999996
4,0.324,0,0,3993,3.54,457981.12799999997,0.0,0.0,819088.74
5,0.228,0,0,473,3.54,38176.776000000005,0.0,0.0,857265.516
5,0.236,0,0,9319,3.54,778546.5360000001,0.0,0.0,1635812.0520000001
6,0.153,0,0,2823,3.54,152899.326,0.0,0.0,1788711.378
6,0.164,0,0,113,3.54,6560.328,0.0,0.0,1795271.706
7,0.0,0,0,0,3.54,0.0,0.0,0.0,1795271.706
7,0.109,0,0,1089,3.54,42020.153999999995,0.0,0.0,1837291.86
8,0.115,0,0,124,3.54,5048.04,0.0,0.0,1842339.9000000001
8,0.117,0,0,1,3.54,41.418000000000006,0.0,0.0,1842381.3180000002
