strike,call_gex,put_gex,call_dex,put_dex,net_gex,net_dex
24.5,0.05088519386151926,0.3372175549957979,0.0,0.0,-0.2863323611342787,0.0
25.0,29.344118309781532,86.91478785552266,0.0,0.0,-57.570669545741126,0.0
25.5,11.531853915682655,80.61469709132147,0.0,0.0,-69.08284317563881,0.0
26.0,3175.828462909311,6339.009821320311,0.0,0.0,-3163.181358411,0.0
26.5,745.2650416294906,8104.75732772071,0.0,0.0,-7359.492286091219,0.0
27.0,121582.29157035997,379737.6662165293,0.0,0.0,-258155.37464616937,0.0
27.5,25613.935367287708,168987.53585084784,0.0,0.0,-143373.60048356012,0.0
28.0,1739521.9638783897,1288323.833247632,0.0,0.0,451198.13063075766,0.0
28.5,2486751.744253235,590482.1835559481,0.0,0.0,1896269.5606972869,0.0
29.0,4538057.445149753,3040486.0654267785,0.0,0.0,1497571.3797229747,0.0
29.5,2710711.937903987,1749250.7023330217,0.0,0.0,961461.2355709651,0.0
30.0,41677480.01139095,6648083.214223536,0.0,0.0,35029396.79716741,0.0
30.5,2570189.502345223,1545750.76202366,0.0,0.0,1024438.7403215631,0.0
31.0,7509654.90884906,1102083.0044572214,0.0,0.0,6407571.904391838,0.0
31.5,1198025.8416663015,411383.31106723135,0.0,0.0,786642.5305990701,0.0
32.0,5615820.318443462,163901.18863120137,0.0,0.0,5451919.129812261,0.0
33.0,457771.2102441987,35517.766246994186,0.0,0.0,422253.4439972045,0.0
34.0,42287.164185725866,3147.2267938102377,0.0,0.0,39139.93739191563,0.0
35.0,5479.490824516139,261.34898633060845,0.0,0.0,5218.14183818553,0.0
36.0,93.83726353953347,2.9577161777736385,0.0,0.0,90.87954736175983,0.0
