strike,call_gex,put_gex,net_gex
23.5,4904.356,59923.212,-55018.856
24.0,696800.2459999999,4831037.800000001,-4134237.554000001
24.5,20737.791999999998,677759.482,-657021.69
25.0,11917689.428,20336576.686,-8418887.258000001
25.5,146273.928,2821317.2879999997,-2675043.36
26.0,4797528.362,14441809.882000001,-9644281.520000001
26.5,827809.1600000001,4012468.9300000006,-3184659.7700000005
27.0,17306206.417999998,19181084.599999998,-1874878.182
27.5,2656691.842,1553489.088,1103202.7540000002
28.0,13690031.97,4665643.474,9024388.496
28.5,4004261.1360000004,326867.364,3677393.7720000003
29.0,10370194.858000001,1923688.3320000002,8446506.526
29.5,1293431.904,15492.932,1277938.972
30.0,21060002.148,2538616.5879999995,18521385.56
30.5,496166.502,0.0,496166.502
31.0,4252713.723999999,248902.93199999997,4003810.7919999994
31.5,144107.334,0.0,144107.334
