strike,call_gex,put_gex,call_dex,put_dex,net_gex
23.0,947264.76,8652071.532,12887266.353,-26554952.19,-7704806.772
23.5,60517.08,950217.45,1217765.133,-1318268.952,-889700.37
24.0,748182.9029999999,11827394.358,7318524.369,-35587567.97699999,-11079211.454999998
24.5,251059.65299999996,1725489.324,1613281.878,-3207577.698,-1474429.671
25.0,2573671.737,23119074.069,18312476.246999998,-74434239.399,-20545402.332
25.5,362266.31999999995,3044573.532,1161363.528,-5709587.91,-2682307.2120000003
26.0,3699148.323,20681037.935999997,18351119.904000003,-73034781.924,-16981889.612999998
26.5,2576961.5039999997,2367223.833,5148503.646,-6188331.317999999,209737.67099999962
27.0,12059112.585,9574387.368,36724560.054,-47973514.602,2484725.217
27.5,4389589.152,991570.788,6042403.107,-4484634.414,3398018.364
28.0,11463113.415,3323401.536,32521972.860000003,-22456660.278,8139711.878999999
28.5,1355498.976,161932.83599999998,1930745.6999999997,-1186628.625,1193566.1400000001
29.0,6755545.68,1211857.14,18920226.077999998,-11482567.200000001,5543688.54
29.5,710119.332,24039.6,1071920.538,-238078.269,686079.7320000001
30.0,14464985.300999999,1226651.9459999998,49076399.19,-15618690.125999998,13238333.354999999
