strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
22.5,310.86,6735.300000000001,6823.3769999999995,-12434.4,-0.04608510638297872,-6424.440000000001
23.0,1036655.9280000001,10136331.183,12653802.397500003,-30321610.803000003,-0.1066460939454591,-9099675.255
23.5,32396.793000000005,2954737.2525,298052.56799999997,-8991094.447500002,-0.22517204589679934,-2922340.4595
24.0,807989.9025000001,14499595.8195,6892033.021500001,-42602549.583000004,-0.21092452108452167,-13691605.917
24.5,246224.4345,2360738.193,1544912.0280000002,-5916251.2530000005,-0.19447389650800967,-2114513.7585
25.0,3571574.1600000006,23006652.7515,22870402.8135,-79004957.6085,-0.22426508941877793,-19435078.5915
25.5,642806.6700000002,1837148.9235,3060372.6615,-5847061.5885,-0.14534981759221727,-1194342.2534999999
26.0,6704540.402999999,17380128.1995,31187469.885,-70598023.5015,-0.19224733682946862,-10675587.7965
26.5,1975082.6865000003,816802.7835000001,6523425.595500001,-3447636.8685,0.14642175360710322,1158279.9030000002
27.0,9524069.0985,9752020.146000002,37094400.519,-52635247.8135,-0.08703908596300326,-227951.04750000127
27.5,2848550.067,362576.742,7282219.312499999,-2041041.9974999998,0.19857002649916575,2485973.3249999997
28.0,9566377.1445,2971635.084,30109738.989,-21197027.890499998,0.06912178804620794,6594742.060500001
28.5,1702025.853,130654.45800000001,3632476.8150000004,-1058856.5130000003,0.13701337746517725,1571371.3949999998
29.0,6683842.307999999,1082735.742,17130885.8325,-10364574.956999999,0.07145513486896098,5601106.566
29.5,874925.832,17037.7185,1720211.1629999997,-208364.277,0.1240935573038486,857888.1135000001
