strike,call_gex,put_gex,net_gex
36.0,353917.818,594724.5,-240806.68199999997
36.5,8120.196000000002,292608.657,-284488.461
37.0,726610.4370000002,829915.974,-103305.5369999999
37.5,31152.635999999995,193363.218,-162210.582
38.0,2618616.105,1146153.897,1472462.2079999999
38.5,57803.859000000004,214563.15000000002,-156759.29100000003
39.0,803159.676,1850849.892,-1047690.216
39.5,135319.788,765500.7960000001,-630181.0080000001
40.0,5485167.180000001,6582057.714000001,-1096890.534
40.5,115935.552,1420189.497,-1304253.945
41.0,1752768.684,3231993.519000001,-1479224.835000001
41.5,706167.0449999999,2004498.963,-1298331.918
42.0,1939776.966,6997364.55,-5057587.584
42.5,670655.8979999999,3165867.7199999997,-2495211.8219999997
43.0,2858098.842,3659556.3030000003,-801457.4610000001
43.5,1110251.871,152157.006,958094.865
44.0,3371428.0439999998,1091527.506,2279900.5379999997
44.5,1898322.7769999998,45123.407999999996,1853199.3689999997
45.0,4988107.791,636657.831,4351449.96
45.5,583998.444,78886.107,505112.337
46.0,2248445.2860000003,193329.594,2055115.6920000003
46.5,349210.458,6628.131,342582.327
47.0,1621761.174,259215.822,1362545.3520000002
47.5,223074.225,46022.850000000006,177051.375
48.0,974490.768,291780.666,682710.102
