strike,call_gex,put_gex,call_dex,put_dex,net_gex
54.5,35717.76,98459.16,2327581.92,-510835.2,-62741.4
55.0,662228.6400000001,930277.2000000001,38919129.6,-6081260.279999999,-268048.55999999994
55.5,10856.52,119523.48,1132130.88,-580788.8400000001,-108666.95999999999
56.0,284667.24,672538.2,15189072.84,-3620379.1199999996,-387870.95999999996
56.5,28308.360000000004,206000.4,3024262.68,-961072.3200000001,-177692.03999999998
57.0,244599.24,439558.68,12515856.719999999,-3984285.5999999996,-194959.44
57.5,19130.88,127460.76000000002,2242078.08,-542088.24,-108329.88000000002
58.0,601624.2,517436.88,36411775.92,-3221047.44,84187.31999999995
58.5,2671.2,125508.24000000002,1335027.6,-388990.32,-122837.04000000002
59.0,269644.92,560773.9199999999,14974658.16,-5101934.760000001,-291128.99999999994
59.5,427576.44,813901.92,7304211.96,-9441547.200000001,-386325.48000000004
60.0,2794991.04,1201543.92,59209596.6,-10297876.68,1593447.12
60.5,431723.16,215127.00000000003,5495396.160000001,-972539.4,216596.15999999995
61.0,1201556.6400000001,691287.48,19393299.96,-4374872.28,510269.16000000015
61.5,549211.44,168686.28000000003,5648080.68,-835398.7200000001,380525.1599999999
62.0,1326613.32,716841.9600000001,17801525.520000003,-7108120.44,609771.36
62.5,297342.7199999999,139761.0,2174083.32,-689487.6,157581.7199999999
63.0,887429.8800000001,74246.64,9560390.16,-882500.8799999999,813183.2400000001
63.5,143850.47999999998,19588.8,1387383.1199999999,-114225.6,124261.67999999998
64.0,1247882.8800000001,165919.68,9498062.16,-2425894.8,1081963.2000000002
64.5,117640.92,18106.92,602501.8800000001,-129724.92000000003,99534.0
65.0,2751615.84,176655.36,25468181.16,-2071057.6800000002,2574960.48
66.0,657624.0,21579.48,4520376.36,-361356.12,636044.52
67.0,942265.7999999999,2073.3599999999997,6022977.24,-64032.48,940192.44
68.0,599131.08,13394.16,4872383.28,-286060.08,585736.9199999999
69.0,183689.52000000002,1958.88,1393736.76,-261726.72,181730.64
70.0,1194477.9600000002,14494.44,15073219.08,-483919.68000000005,1179983.5200000003
71.0,130106.52,2734.8,1249352.04,-95355.48000000001,127371.72
72.0,135646.08000000002,13362.359999999999,1091515.92,-414996.36,122283.72000000002
73.0,66182.16,330.72,563985.72,-9247.44,65851.44
