strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
52.0,307921.152,453615.55199999997,12543964.752,-4181612.16,0.21815791984732824,-145694.39999999997
52.5,17410.176,22238.208000000002,632801.3759999999,-142158.71999999997,0.28745,-4828.032000000003
53.0,417387.024,315157.10400000005,15472336.848,-2650040.928,0.38236593346664244,102229.91999999993
53.5,18141.696,22396.704,560661.312,-158782.51200000002,0.2585294117647059,-4255.008000000002
54.0,289133.28,364022.64,9474293.472000001,-3638927.9519999996,0.20818725532840365,-74889.35999999999
54.5,52017.168,114373.15199999999,1456066.1759999997,-790358.5920000001,0.1170460878885316,-62355.98399999999
55.0,846374.7359999999,807945.552,26174035.536000002,-7843534.223999999,0.2737842119639443,38429.18399999989
55.5,17349.216,69975.984,480809.80799999996,-551303.952,-0.02364826175869121,-52626.768
56.0,357262.176,384249.168,8852873.328,-2873532.48,0.25312593548387097,-26986.992000000027
56.5,49932.33600000001,220833.696,1041836.88,-2258104.704,-0.13499255751014885,-170901.36
57.0,370417.34400000004,301471.584,8090976.960000001,-3888156.816,0.178703732503888,68945.76000000007
57.5,21817.584,11570.207999999999,751161.312,-183337.19999999998,0.3362707581227437,10247.376
58.0,706666.608,607381.056,19055163.312,-5552919.552,0.29075019690207404,99285.55200000003
58.5,2450.5919999999996,5882.64,53547.26400000001,-72518.016,-0.06765217391304348,-3432.0480000000007
59.0,354543.36,521317.728,7076194.1280000005,-7093976.16,-0.0005954276382935509,-166774.36800000002
59.5,1877.568,548152.3200000001,43683.936,-9198034.944,-0.39981309904153356,-546274.7520000001
60.0,1829415.6960000002,783787.104,35454214.08,-9068811.935999999,0.31990495195861046,1045628.5920000002
60.5,6754.368,19373.088000000003,138531.59999999998,-334542.384,-0.19139285714285717,-12618.720000000003
61.0,485467.152,303336.96,7702838.544000001,-3402921.3120000004,0.20027455990914256,182130.19199999998
61.5,26267.663999999993,2316.4800000000005,327080.88,-39063.168,0.40382051282051284,23951.183999999994
62.0,554486.064,530882.3520000001,8237732.064,-7783287.456,0.01414036418816388,23603.71199999994
62.5,3730.752000000001,6821.424,79662.52800000002,-125717.80799999999,-0.11110294117647057,-3090.671999999999
63.0,478664.016,208483.19999999998,6708361.488,-3028389.168,0.18712647241165528,270180.816
63.5,6705.6,15727.679999999998,97219.008,-256123.44000000003,-0.2306814159292036,-9022.079999999998
64.0,1095103.7280000001,336401.664,14644713.408,-4793833.44,0.24190988023952092,758702.0640000001
64.5,20275.296,9290.304,282775.152,-199327.008,0.08148214285714288,10984.991999999998
65.0,1461119.76,242309.90399999998,17168567.136,-4240560.4799999995,0.2626298452012384,1218809.8560000001
65.5,121.92,0.0,2962.656,0.0,0.486,121.92
66.0,303909.98400000005,90775.536,2862754.752,-1591750.9440000001,0.11955160550458716,213134.44800000006
66.5,1505.712,0.0,37722.047999999995,0.0,0.476,1505.712
67.0,391277.856,4791.456,3697467.84,-99950.016,0.3099495798319328,386486.4
68.0,319643.76,28303.728000000003,3336322.512,-663391.104,0.23285873605947957,291340.032
69.0,139439.904,15355.824,1325947.0559999999,-373282.4639999999,0.178398401826484,124084.08000000002
70.0,1459406.784,61484.256,17909584.704,-1668213.072,0.2721972823865958,1397922.528
