strike,gamma,oi,underlying,GEX
50,0.0,0,680.645,0.0
50,0.0,10,680.645,0.0
80,0.0,6,680.645,0.0
100,0.0,2,680.645,0.0
140,0.0,1,680.645,0.0
150,0.0,69443,680.645,0.0
150,0.0,663,680.645,0.0
155,0.0,139,680.645,0.0
155,0.0,17117,680.645,0.0
160,0.0,81,680.645,0.0
160,0.0,36148,680.645,0.0
165,0.0,387,680.645,0.0
165,0.0,14778,680.645,0.0
170,0.0,22335,680.645,0.0
170,0.0,78,680.645,0.0
175,0.0,670,680.645,0.0
175,0.0,15138,680.645,0.0
180,0.0,13353,680.645,0.0
180,0.0,435,680.645,0.0
185,0.0,11094,680.645,0.0
185,0.0,67,680.645,0.0
190,0.0,9828,680.645,0.0
190,0.0,66,680.645,0.0
195,0.0,24432,680.645,0.0
195,0.0,216,680.645,0.0
200,0.0,20541,680.645,0.0
200,0.0,167,680.645,0.0
205,0.0,102,680.645,0.0
205,0.0,8985,680.645,0.0
210,0.0,16852,680.645,0.0
210,0.0,1179,680.645,0.0
215,0.0,24,680.645,0.0
215,0.0,18798,680.645,0.0
220,0.0,51,680.645,0.0
220,0.0,24826,680.645,0.0
225,0.0,7575,680.645,0.0
225,0.0,85,680.645,0.0
230,0.0,3686,680.645,0.0
230,0.0,373,680.645,0.0
235,0.0,4838,680.645,0.0
235,0.0,246,680.645,0.0
240,0.0,26316,680.645,0.0
240,0.0,204,680.645,0.0
245,0.0,10427,680.645,0.0
245,0.0,238,680.645,0.0
250,0.0,240,680.645,0.0
250,0.0,31707,680.645,0.0
255,0.0,13848,680.645,0.0
255,0.0,227,680.645,0.0
260,0.0,28547,680.645,0.0
260,0.0,401,680.645,0.0
265,0.0,238,680.645,0.0
265,0.0,5728,680.645,0.0
270,0.0,356,680.645,0.0
270,0.0,9181,680.645,0.0
275,0.0,16404,680.645,0.0
275,0.0,410,680.645,0.0
280,0.0,426,680.645,0.0
280,0.0,8009,680.645,0.0
285,0.0,3179,680.645,0.0
285,0.0,481,680.645,0.0
290,0.0,12428,680.645,0.0
290,0.0,180,680.645,0.0
295,0.0,277,680.645,0.0
295,0.0,2531,680.645,0.0
300,0.0,13636,680.645,0.0
300,0.0,618,680.645,0.0
305,0.0,14604,680.645,0.0
305,0.0,427,680.645,0.0
310,0.0,298,680.645,0.0
310,0.0,9823,680.645,0.0
315,0.0,9189,680.645,0.0
315,0.0,352,680.645,0.0
320,0.0,288,680.645,0.0
320,0.0,3269,680.645,0.0
325,0.0,216,680.645,0.0
325,0.0,8394,680.645,0.0
330,0.0,5918,680.645,0.0
330,0.0,185,680.645,0.0
335,0.0,6500,680.645,0.0
335,0.0,162,680.645,0.0
340,0.0,2963,680.645,0.0
340,0.0,381,680.645,0.0
345,0.0,396,680.645,0.0
345,0.0,24181,680.645,0.0
350,0.0,10658,680.645,0.0
350,0.0,951,680.645,0.0
355,0.0,671,680.645,0.0
355,0.0,3806,680.645,0.0
360,0.0,765,680.645,0.0
360,0.0,10275,680.645,0.0
365,0.0,13082,680.645,0.0
365,0.0,345,680.645,0.0
370,0.0,3421,680.645,0.0
370,0.0,418,680.645,0.0
375,0.0,14823,680.645,0.0
375,0.0,514,680.645,0.0
380,0.0,1263,680.645,0.0
380,0.0,8350,680.645,0.0
385,0.0,467,680.645,0.0
385,0.0,10391,680.645,0.0
390,0.0,7229,680.645,0.0
390,0.0,862,680.645,0.0
395,0.0,6417,680.645,0.0
395,0.0,530,680.645,0.0
400,0.0,1686,680.645,0.0
400,0.0,36931,680.645,0.0
405,0.0,2938,680.645,0.0
405,0.0,467,680.645,0.0
410,0.0,3325,680.645,0.0
410,0.0,842,680.645,0.0
415,0.0,1606,680.645,0.0
415,0.0,7413,680.645,0.0
420,0.0,666,680.645,0.0
420,0.0,17795,680.645,0.0
425,0.0,1100,680.645,0.0
425,0.0,12558,680.645,0.0
430,0.0,3359,680.645,0.0
430,0.0,2210,680.645,0.0
435,0.0,1525,680.645,0.0
435,0.0,9303,680.645,0.0
440,0.0,1756,680.645,0.0
440,0.0,6430,680.645,0.0
445,0.0,13570,680.645,0.0
445,0.0,2192,680.645,0.0
450,0.0,19693,680.645,0.0
450,0.0,1330,680.645,0.0
455,0.0,3999,680.645,0.0
455,0.0,111968,680.645,0.0
460,0.0,5848,680.645,0.0
460,0.0,1313,680.645,0.0
465,0.0,11760,680.645,0.0
465,0.0,1375,680.645,0.0
470,0.0,1741,680.645,0.0
470,0.0,14458,680.645,0.0
475,0.0,1327,680.645,0.0
475,0.0,20511,680.645,0.0
480,0.0,7083,680.645,0.0
480,0.0,1848,680.645,0.0
485,0.0,1402,680.645,0.0
485,0.0,27800,680.645,0.0
490,0.0,1055,680.645,0.0
490,0.0,17393,680.645,0.0
495,0.0,1490,680.645,0.0
495,0.0,6741,680.645,0.0
500,0.0,39876,680.645,0.0
500,0.0,2146,680.645,0.0
505,0.0,216149,680.645,0.0
505,0.0,1534,680.645,0.0
510,0.0,1101,680.645,0.0
510,0.0,9974,680.645,0.0
515,0.0,17834,680.645,0.0
515,0.0,727,680.645,0.0
520,0.0,42941,680.645,0.0
520,0.0,3702,680.645,0.0
525,0.0,4569,680.645,0.0
525,0.0,13358,680.645,0.0
530,0.0,1278,680.645,0.0
530,0.0,16996,680.645,0.0
535,0.0,14067,680.645,0.0
535,0.0,857,680.645,0.0
540,0.0,34848,680.645,0.0
540,0.0,2586,680.645,0.0
545,0.0,11793,680.645,0.0
545,0.0,2388,680.645,0.0
550,0.0,2410,680.645,0.0
550,0.0,55578,680.645,0.0
555,0.0,1825,680.645,0.0
555,0.0,117765,680.645,0.0
560,0.0,21837,680.645,0.0
560,0.001,10526,680.645,716446.9269999999
565,0.001,3389,680.645,230670.59050000002
565,0.0,14762,680.645,0.0
570,0.001,3476,680.645,236592.20200000002
570,0.0,17425,680.645,0.0
575,0.0,5379,680.645,0.0
575,0.0,39299,680.645,0.0
580,0.0,28470,680.645,0.0
580,0.001,3053,680.645,207800.9185
585,0.0,21815,680.645,0.0
585,0.001,9945,680.645,676901.4525
590,0.001,3066,680.645,208685.757
590,0.0,18716,680.645,0.0
595,0.001,1660,680.645,112987.06999999999
595,0.0,13825,680.645,0.0
600,0.0,69454,680.645,0.0
600,0.001,5119,680.645,348422.17549999995
601,0.0,2402,680.645,0.0
601,0.001,49,680.645,3335.1605
602,0.001,39,680.645,2654.5155
602,0.0,7556,680.645,0.0
603,0.001,21,680.645,1429.3545
603,0.0,1554,680.645,0.0
604,0.0,1570,680.645,0.0
604,0.001,6,680.645,408.387
605,0.001,4464,680.645,303839.928
605,0.0,27325,680.645,0.0
606,0.001,8,680.645,544.516
606,0.0,6100,680.645,0.0
607,0.0,6496,680.645,0.0
607,0.001,118,680.645,8031.611
608,0.0,1448,680.645,0.0
608,0.001,54,680.645,3675.483
609,0.0,4154,680.645,0.0
609,0.001,17,680.645,1157.0965
610,0.002,4851,680.645,660361.779
610,0.0,53880,680.645,0.0
611,0.0,2290,680.645,0.0
611,0.002,11,680.645,1497.4189999999999
612,0.002,100,680.645,13612.9
612,0.0,2812,680.645,0.0
613,0.0,2276,680.645,0.0
613,0.002,5,680.645,680.645
614,0.002,6,680.645,816.774
614,0.0,2631,680.645,0.0
615,0.0,22422,680.645,0.0
615,0.002,7428,680.645,1011166.2119999999
616,0.002,53,680.645,7214.8369999999995
616,0.0,4405,680.645,0.0
617,0.0,6217,680.645,0.0
617,0.002,35,680.645,4764.515
618,0.002,32,680.645,4356.128
618,0.0,3725,680.645,0.0
619,0.0,4575,680.645,0.0
619,0.002,15,680.645,2041.935
620,0.002,11083,680.645,1508717.707
620,0.0,76988,680.645,0.0
621,0.0,2361,680.645,0.0
621,0.002,13,680.645,1769.677
622,0.002,66,680.645,8984.514000000001
622,0.0,1663,680.645,0.0
623,0.0,5218,680.645,0.0
623,0.002,2,680.645,272.258
624,0.002,15,680.645,2041.935
624,0.0,3876,680.645,0.0
625,0.0,60715,680.645,0.0
625,0.002,19293,680.645,2626336.797
626,0.002,4,680.645,544.516
626,0.0,6031,680.645,0.0
627,0.0,17235,680.645,0.0
627,0.002,64,680.645,8712.256
628,0.002,91,680.645,12387.739
628,0.0,34672,680.645,0.0
629,0.0,2896,680.645,0.0
629,0.002,10,680.645,1361.29
630,0.003,17917,680.645,3658534.9394999994
630,0.001,82104,680.645,5588367.708
631,0.001,18286,680.645,1244627.4470000002
631,0.003,39,680.645,7963.5465
632,0.003,27,680.645,5513.224499999999
632,0.001,34989,680.645,2381508.7904999997
633,0.003,8,680.645,1633.548
633,0.001,2755,680.645,187517.6975
634,0.001,14797,680.645,1007150.4065
634,0.003,12,680.645,2450.322
635,0.003,10586,680.645,2161592.391
635,0.001,26463,680.645,1801190.8635
636,0.001,15971,680.645,1087058.1294999998
636,0.003,26,680.645,5309.031
637,0.003,10,680.645,2041.935
637,0.001,6853,680.645,466446.01849999995
638,0.001,7274,680.645,495101.17299999995
638,0.004,152,680.645,41383.216
639,0.004,46,680.645,12523.867999999999
639,0.001,13201,680.645,898519.4645000001
640,0.001,52058,680.645,3543301.741
640,0.004,12434,680.645,3385255.972
641,0.001,18935,680.645,1288801.3074999999
641,0.004,77,680.645,20963.865999999998
642,0.004,153,680.645,41655.473999999995
642,0.002,18145,680.645,2470060.705
643,0.004,133,680.645,36210.314
644,0.004,54,680.645,14701.932
645,0.005,10904,680.645,3710876.54
646,0.005,160,680.645,54451.6
