strike,gamma,vanna,charm,oi,underlying,GEX,VannaExp,CharmExp,cum_gex
210,0.0,0,0,6,680.645,0.0,0.0,0.0,0.0
210,0.0,0,0,21988,680.645,0.0,0.0,0.0,0.0
215,0.0,0,0,8917,680.645,0.0,0.0,0.0,0.0
215,0.0,0,0,2,680.645,0.0,0.0,0.0,0.0
220,0.0,0,0,5,680.645,0.0,0.0,0.0,0.0
220,0.0,0,0,14902,680.645,0.0,0.0,0.0,0.0
225,0.0,0,0,11088,680.645,0.0,0.0,0.0,0.0
225,0.0,0,0,0,680.645,0.0,0.0,0.0,0.0
230,0.0,0,0,5,680.645,0.0,0.0,0.0,0.0
230,0.0,0,0,2701,680.645,0.0,0.0,0.0,0.0
235,0.0,0,0,5105,680.645,0.0,0.0,0.0,0.0
235,0.0,0,0,5,680.645,0.0,0.0,0.0,0.0
240,0.0,0,0,8,680.645,0.0,0.0,0.0,0.0
240,0.0,0,0,4735,680.645,0.0,0.0,0.0,0.0
245,0.0,0,0,1905,680.645,0.0,0.0,0.0,0.0
250,0.0,0,0,2995,680.645,0.0,0.0,0.0,0.0
250,0.0,0,0,25,680.645,0.0,0.0,0.0,0.0
255,0.0,0,0,5371,680.645,0.0,0.0,0.0,0.0
255,0.0,0,0,3,680.645,0.0,0.0,0.0,0.0
260,0.0,0,0,1,680.645,0.0,0.0,0.0,0.0
260,0.0,0,0,4455,680.645,0.0,0.0,0.0,0.0
265,0.0,0,0,876,680.645,0.0,0.0,0.0,0.0
270,0.0,0,0,1,680.645,0.0,0.0,0.0,0.0
270,0.0,0,0,1360,680.645,0.0,0.0,0.0,0.0
275,0.0,0,0,2682,680.645,0.0,0.0,0.0,0.0
275,0.0,0,0,6,680.645,0.0,0.0,0.0,0.0
280,0.0,0,0,7,680.645,0.0,0.0,0.0,0.0
280,0.0,0,0,2361,680.645,0.0,0.0,0.0,0.0
285,0.0,0,0,1559,680.645,0.0,0.0,0.0,0.0
290,0.0,0,0,1300,680.645,0.0,0.0,0.0,0.0
290,0.0,0,0,0,680.645,0.0,0.0,0.0,0.0
295,0.0,0,0,6227,680.645,0.0,0.0,0.0,0.0
295,0.0,0,0,15,680.645,0.0,0.0,0.0,0.0
300,0.0,0,0,48,680.645,0.0,0.0,0.0,0.0
300,0.0,0,0,11581,680.645,0.0,0.0,0.0,0.0
305,0.0,0,0,5945,680.645,0.0,0.0,0.0,0.0
305,0.0,0,0,5,680.645,0.0,0.0,0.0,0.0
310,0.0,0,0,2391,680.645,0.0,0.0,0.0,0.0
310,0.0,0,0,1,680.645,0.0,0.0,0.0,0.0
315,0.0,0,0,4599,680.645,0.0,0.0,0.0,0.0
315,0.0,0,0,7,680.645,0.0,0.0,0.0,0.0
320,0.0,0,0,7055,680.645,0.0,0.0,0.0,0.0
320,0.0,0,0,46,680.645,0.0,0.0,0.0,0.0
325,0.0,0,0,8881,680.645,0.0,0.0,0.0,0.0
325,0.0,0,0,26,680.645,0.0,0.0,0.0,0.0
330,0.0,0,0,3830,680.645,0.0,0.0,0.0,0.0
330,0.0,0,0,40,680.645,0.0,0.0,0.0,0.0
335,0.0,0,0,44,680.645,0.0,0.0,0.0,0.0
335,0.0,0,0,2435,680.645,0.0,0.0,0.0,0.0
340,0.0,0,0,1,680.645,0.0,0.0,0.0,0.0
340,0.0,0,0,3604,680.645,0.0,0.0,0.0,0.0
345,0.0,0,0,2354,680.645,0.0,0.0,0.0,0.0
345,0.0,0,0,0,680.645,0.0,0.0,0.0,0.0
350,0.0,0,0,14179,680.645,0.0,0.0,0.0,0.0
350,0.0,0,0,10,680.645,0.0,0.0,0.0,0.0
355,0.0,0,0,64,680.645,0.0,0.0,0.0,0.0
355,0.0,0,0,4972,680.645,0.0,0.0,0.0,0.0
360,0.0,0,0,82,680.645,0.0,0.0,0.0,0.0
360,0.0,0,0,4859,680.645,0.0,0.0,0.0,0.0
365,0.0,0,0,2,680.645,0.0,0.0,0.0,0.0
365,0.0,0,0,5127,680.645,0.0,0.0,0.0,0.0
370,0.0,0,0,1746,680.645,0.0,0.0,0.0,0.0
370,0.0,0,0,4,680.645,0.0,0.0,0.0,0.0
375,0.0,0,0,4260,680.645,0.0,0.0,0.0,0.0
375,0.0,0,0,2,680.645,0.0,0.0,0.0,0.0
380,0.0,0,0,0,680.645,0.0,0.0,0.0,0.0
380,0.0,0,0,3480,680.645,0.0,0.0,0.0,0.0
385,0.0,0,0,2630,680.645,0.0,0.0,0.0,0.0
385,0.0,0,0,0,680.645,0.0,0.0,0.0,0.0
390,0.0,0,0,5979,680.645,0.0,0.0,0.0,0.0
390,0.0,0,0,2,680.645,0.0,0.0,0.0,0.0
395,0.0,0,0,14337,680.645,0.0,0.0,0.0,0.0
395,0.0,0,0,0,680.645,0.0,0.0,0.0,0.0
400,0.0,0,0,134,680.645,0.0,0.0,0.0,0.0
400,0.0,0,0,14134,680.645,0.0,0.0,0.0,0.0
