strike,call_gex,put_gex,net_gex
585.0,0.0,0.0,0.0
590.0,137.571,0.0,137.571
595.0,137.571,0.0,137.571
600.0,1857.2085000000002,0.0,1857.2085000000002
605.0,481.49850000000004,0.0,481.49850000000004
610.0,343.9275,0.0,343.9275
615.0,825.426,0.0,825.426
620.0,68.7855,0.0,68.7855
625.0,687.855,18365.7285,-17677.8735
630.0,687.855,20291.7225,-19603.8675
635.0,2338.707,48287.421,-45948.714
640.0,4746.1995,488720.97750000004,-483974.77800000005
643.0,0.0,0.0,0.0
644.0,825.426,0.0,825.426
645.0,1444.4955,1060190.9115,-1058746.416
646.0,0.0,0.0,0.0
647.0,0.0,0.0,0.0
648.0,0.0,207181.926,-207181.926
649.0,550.284,90796.86000000002,-90246.57600000002
650.0,30609.547500000004,1180496.7510000002,-1149887.2035
651.0,1582.0665,384510.945,-382928.8785
652.0,9905.112000000001,1837742.2035000003,-1827837.0915000003
653.0,0.0,304513.4085,-304513.4085
654.0,2820.2055,154836.1605,-152015.955
655.0,112464.29250000001,1571679.8895000003,-1459215.5970000003
656.0,42990.93750000001,363737.72400000005,-320746.78650000005
657.0,25313.064000000002,357134.31600000005,-331821.25200000004
658.0,43541.2215,1239789.8520000002,-1196248.6305000002
659.0,27858.127500000002,4416992.097,-4389133.9695
660.0,654150.105,3422284.9814999998,-2768134.8765
661.0,463063.9860000001,495943.4550000001,-32879.46899999998
662.0,343033.2885,2013351.5850000002,-1670318.2965000002
663.0,178154.445,1134548.037,-956393.592
664.0,281057.553,2003584.0440000002,-1722526.4910000002
665.0,392214.921,3496848.4635,-3104633.5425
666.0,497456.73600000003,1481502.099,-984045.3629999999
667.0,396479.62200000003,1669974.369,-1273494.747
668.0,330239.1855,2003446.4730000002,-1673207.2875
669.0,275004.429,2065903.707,-1790899.278
670.0,3369664.074,9925059.795,-6555395.721
671.0,811187.4015000002,2889266.142,-2078078.7404999998
672.0,3557173.3470000005,3882253.62,-325080.2729999996
673.0,2917674.5535,6093225.9465,-3175551.3929999997
674.0,2617150.7040000004,8013854.6775,-5396703.9735
675.0,13748914.5255,21017547.096,-7268632.570500001
676.0,7351725.4545,7613523.0675,-261797.6129999999
677.0,6398839.9229999995,10917496.989000002,-4518657.066000002
678.0,13098960.336,18079168.107,-4980207.771000002
679.0,13145252.9775,15197537.155500004,-2052284.178000005
680.0,55263096.125999995,38182280.766,17080815.359999992
681.0,38902327.38,12581830.946999999,26320496.433000006
682.0,34261300.9095,12715962.672000002,21545338.2375
683.0,30341077.6935,25192483.0185,5148594.675000001
684.0,48872785.605000004,9700337.5665,39172448.0385
685.0,88096547.6265,38090520.909,50006026.717499994
686.0,34176694.7445,10715749.1175,23460945.626999997
687.0,37837802.982,5601478.407000001,32236324.575
688.0,40033573.713,12302974.53,27730599.183
689.0,30457806.687,2275080.4125,28182726.274499997
690.0,118528834.89300002,9074389.516500002,109454445.37650003
691.0,21352326.124500003,60668.811,21291657.313500002
692.0,14767765.3515,14788.8825,14752976.469
693.0,7068260.409,9905.112000000001,7058355.297
694.0,6303228.078,3026.562,6300201.516
695.0,7600866.535499999,24212.496,7576654.039499999
696.0,1400266.4235,0.0,1400266.4235
697.0,3076912.986,0.0,3076912.986
698.0,734766.711,0.0,734766.711
699.0,1727754.189,254850.27749999997,1472903.9115
700.0,4796206.5585,26069.704500000003,4770136.854
701.0,580687.191,825.426,579861.765
702.0,782503.848,2063.565,780440.283
703.0,525383.649,0.0,525383.649
704.0,301142.919,343.9275,300798.9915
705.0,760010.9895,1375.71,758635.2795000001
706.0,186546.276,0.0,186546.276
707.0,102696.7515,0.0,102696.7515
708.0,84468.59400000001,0.0,84468.59400000001
709.0,65690.1525,0.0,65690.1525
710.0,173820.9585,206.3565,173614.602
711.0,41271.3,0.0,41271.3
712.0,63213.87449999999,0.0,63213.87449999999
713.0,89421.15,0.0,89421.15
714.0,53927.831999999995,0.0,53927.831999999995
715.0,222177.165,206.3565,221970.8085
720.0,19672.653000000002,0.0,19672.653000000002
725.0,0.0,0.0,0.0
730.0,0.0,0.0,0.0
735.0,0.0,0.0,0.0
740.0,0.0,0.0,0.0
745.0,0.0,0.0,0.0
750.0,0.0,0.0,0.0
755.0,0.0,0.0,0.0
760.0,0.0,0.0,0.0
765.0,0.0,0.0,0.0
770.0,0.0,0.0,0.0
775.0,0.0,0.0,0.0
780.0,0.0,0.0,0.0
785.0,0.0,0.0,0.0
790.0,0.0,0.0,0.0
