strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
60.0,128602.16247299999,361175.87883899995,16546731.523215,-1707165.8241119997,0.39908516286951606,-232573.71636599995
60.5,0.0,77.01440999999998,364068.12,-163.13052299999998,0.9806924528301887,-77.01440999999998
61.0,0.0,26864.026469999993,798149.34,-118140.80507099998,0.2848266862170088,-26864.026469999993
61.5,0.0,28595.450432999998,49009.16999999999,-68130.44774099998,-0.011012499999999998,-28595.450432999998
62.0,22087.732787999998,364751.447856,1270429.0072289999,-1817700.405999,-0.03420875273522976,-342663.71506799996
62.5,2195.610816,45026.12474099999,207297.58700399997,-246988.01339399998,-0.016197142857142847,-42830.51392499999
63.0,25716.511760999998,227285.626923,1532469.8371229998,-1245324.4099619999,0.03038007407407408,-201569.115162
63.5,0.0,99023.027985,210039.3,-346127.26312499994,-0.027610085227272728,-99023.027985
64.0,4111.169232,161826.17894699998,618500.6263169999,-870792.832167,-0.04118285714285714,-157715.009715
64.5,14339.383011,27007.553325,361878.81036299997,-78228.43715399998,0.22633463687150837,-12668.170314
65.0,265325.144415,573911.38332,6969531.053909999,-2821941.00729,0.16739248375247245,-308586.23890500003
65.5,22862.777805,154591.725324,428510.27763299993,-423169.67836499994,0.0013894353369763197,-131728.947519
66.0,181708.499085,465076.01936999994,5263465.135598999,-2162064.7392659998,0.1888210997442455,-283367.520285
66.5,134385.94466399998,483642.7933589999,1885844.8563599999,-2011785.120771,-0.011920543406229252,-349256.84869499994
67.0,228694.290495,616532.558076,3691470.803132999,-2960855.399262,0.04549001743679163,-387838.267581
67.5,152444.42354699998,1434895.3801769998,1265138.1172619998,-4918285.149716999,-0.18769082733812947,-1282450.95663
68.0,858448.8225059999,1441407.998739,8335133.068755,-7479282.432389999,0.025194043693322343,-582959.176233
68.5,221957.630013,195729.32249099997,1615714.012761,-815301.849369,0.1673838945827233,26228.307522000017
69.0,898469.0105969999,1351119.8051099998,7661147.060687999,-9026956.314309,-0.03973907109390915,-452650.79451299994
69.5,284656.461456,247882.08068099996,2094794.0523929996,-1452829.235742,0.09132679282868525,36774.38077500003
70.0,1877140.1276369998,1190595.869823,17536330.985033996,-8608356.390981,0.1726257343982672,686544.2578139999
70.5,232304.86606199996,660770.3353109999,1597642.2313889998,-5036675.901555,-0.2687082056892779,-428465.46924899996
71.0,1436696.8172399998,454908.7169879999,11363623.923140999,-3781366.9234019998,0.23666453234265733,981788.1002519999
71.5,475797.125373,428799.43173599994,2537993.7785369996,-3529550.8066319996,-0.08078978893325724,46997.69363700005
72.0,1589758.0561979997,939912.5650109998,11083646.437157998,-10829768.434593,0.00544957920048091,649845.491187
72.5,519482.499249,80882.633775,2914300.1884169998,-939962.2743119999,0.19583020833333334,438599.865474
73.0,1725276.1126889999,310903.672515,9587586.912689999,-3542953.4143649996,0.17005268859562736,1414372.4401739999
73.5,487124.54482199997,101952.376089,3002340.261405,-1384109.9778299998,0.13790721957040575,385172.16873299994
74.0,2070973.4953799997,446631.06817499996,11456780.553477,-6391097.524460999,0.09975645939611197,1624342.4272049998
74.5,464420.6967539999,51851.701859999994,2650813.5880079996,-808897.751112,0.16401596009975064,412568.99489399994
75.0,1452483.371028,533453.6133539999,12011706.484469999,-9671513.015921999,0.04435387473460721,919029.7576740001
75.5,136664.170938,5269.185906,765564.5431289999,-119676.89248499999,0.18018046875,131394.985032
76.0,450345.2631299999,105034.35275099998,3024606.5275979997,-2138672.6624249998,0.05730901268115941,345310.91037899995
76.5,5258.683941,343.06419,68717.85764999999,-8760.039072,0.28545999999999994,4915.619751
77.0,563476.6308960001,114554.734089,3149537.903238,-2697560.634747,0.02122159763313608,448921.89680700004
77.5,2421.0529979999997,0.0,29189.161520999998,0.0,0.32070000000000004,2421.0529979999997
78.0,250532.07651599997,59700.870501,1886600.9978399999,-1524372.1219769998,0.03221500622665007,190831.20601499997
79.0,108425.08718399999,55378.961837999996,533038.4356709999,-1633021.2510809998,-0.16696174282678,53046.12534599999
80.0,1188464.6710589998,26554.568568,9103199.880078,-829088.8290210001,0.15129877096402508,1161910.1024909997
