strike,call_gex,put_gex,net_gex
15.0,4598.103999999999,4220.7519999999995,377.35199999999986
15.5,0.0,272.532,-272.532
16.0,108.314,17775.725,-17667.411
16.5,7830.054,40034.25199999999,-32204.197999999993
17.0,1495.4319999999998,181936.07399999996,-180440.64199999996
17.5,16196.437000000002,179504.25,-163307.813
18.0,19527.966,739739.1979999999,-720211.2319999998
18.5,27768.565,607636.2989999999,-579867.7339999999
19.0,91969.06799999998,1218242.4980000001,-1126273.4300000002
19.5,148910.78599999996,2005604.916,-1856694.13
20.0,430534.174,1828773.576,-1398239.4019999998
