strike,call_gex,put_gex,call_dex,put_dex,net_gex
15.5,4298.6894999999995,250994.194,102389.60299999999,-501896.0015,-246695.50449999998
16.0,209362.30099999998,1232142.447,1936100.4044999997,-3401455.3614999996,-1022780.146
16.5,26149.0025,931672.565,170840.75349999996,-2333264.5335,-905523.5625
17.0,226098.74949999998,1954929.1354999999,1460831.6415000001,-5355373.68,-1728830.386
17.5,327271.0245,1256056.0585,1501766.1069999998,-3413858.7019999996,-928785.034
18.0,1017088.413,3426428.7005,4962979.2305,-10868885.8755,-2409340.2874999996
18.5,590067.141,1393454.7105,1626774.0989999997,-4567017.937499999,-803387.5695000001
19.0,1547194.9039999999,1663121.8464999998,4387693.9295,-7135666.9695,-115926.94249999989
19.5,590349.735,300402.8565,1378546.0654999998,-1566882.2859999998,289946.8785
20.0,2032423.294,677376.0064999999,6955078.534499999,-4596878.7035,1355047.2875
20.5,787834.0304999999,119696.674,1255441.96,-891718.121,668137.3564999999
