strike,call_gex,put_gex,call_dex,put_dex,net_greek_delta,net_gex
16.0,400818.33400000003,3172141.262,2720700.238,-6317724.851,-0.11586269649334946,-2771322.9280000003
16.5,626782.8559999999,2721212.6589999995,2369402.795,-4610356.848999999,-0.11670596285434996,-2094429.8029999996
17.0,3112809.292,5128275.582,7301285.989999999,-10057606.057,-0.07355595071128032,-2015466.2900000005
17.5,2957230.3929999997,2966403.292,4063541.701,-6293363.268,-0.10576664886039885,-9172.899000000209
18.0,4970322.278,6046173.629999999,8385446.821,-18242459.765,-0.18632812943514052,-1075851.351999999
18.5,2551077.625,1349484.166,3030634.2320000003,-5658852.803,-0.12114751687143104,1201593.459
19.0,2868035.353,1740072.85,4598244.568,-9234674.824,-0.1305426487686291,1127962.503
19.5,1133854.406,465242.605,1594978.873,-2901577.343,-0.08522404505386875,668611.801
20.0,3405185.828,839285.5339999999,8161468.165,-6556160.160999999,0.0330723897911833,2565900.294
20.5,979931.021,116272.64199999999,1635400.068,-1044646.2270000001,0.04226305894991272,863658.379
21.0,1135322.22,713100.455,2108206.983,-7074364.198,-0.16320985750416384,422221.765
21.5,310450.169,116490.374,500588.392,-1286889.97,-0.10546676737160122,193959.79499999998
